site_id,site,recording_id,year,month,day,validated
48439,2023 West of Davis,146802312,2023,5,6,present
48439,2023 West of Davis,146802313,2023,5,6,present
48439,2023 West of Davis,146802317,2023,5,6,present
48439,2023 West of Davis,146802324,2023,5,6,present
48439,2023 West of Davis,146802327,2023,5,6,present
48439,2023 West of Davis,146802330,2023,5,6,present
48439,2023 West of Davis,146802332,2023,5,6,present
48439,2023 West of Davis,146802140,2023,5,7,present
48439,2023 West of Davis,146802141,2023,5,7,present
48439,2023 West of Davis,146802142,2023,5,7,present
48439,2023 West of Davis,146802147,2023,5,7,present
48439,2023 West of Davis,146802186,2023,5,7,present
48439,2023 West of Davis,146802189,2023,5,7,present
48439,2023 West of Davis,146802192,2023,5,7,present
48439,2023 West of Davis,146802197,2023,5,7,present
48439,2023 West of Davis,146802198,2023,5,7,present
48439,2023 West of Davis,146802200,2023,5,7,present
48439,2023 West of Davis,146802203,2023,5,7,present
48439,2023 West of Davis,146802222,2023,5,7,present
48439,2023 West of Davis,146802058,2023,5,8,present
48439,2023 West of Davis,146799203,2023,5,24,present
