filename,site,day,month,year,hour,date,val<Agelaius tricolor/Courtship Song>
CRam-2019-04-28_19-17.flac,2019 Creed Rd AM,28,04,19,19:17:00,2019/04/28,0
CRam-2019-04-28_18-18.flac,2019 Creed Rd AM,28,04,19,18:18:00,2019/04/28,0
CRam-2019-04-28_17-19.flac,2019 Creed Rd AM,28,04,19,17:19:00,2019/04/28,0
CRam-2019-04-28_16-16.flac,2019 Creed Rd AM,28,04,19,16:16:00,2019/04/28,0
CRam-2019-04-28_15-17.flac,2019 Creed Rd AM,28,04,19,15:17:00,2019/04/28,0
CRam-2019-04-28_14-18.flac,2019 Creed Rd AM,28,04,19,14:18:00,2019/04/28,0
CRam-2019-04-28_13-19.flac,2019 Creed Rd AM,28,04,19,13:19:00,2019/04/28,0
CRam-2019-04-28_12-20.flac,2019 Creed Rd AM,28,04,19,12:20:00,2019/04/28,0
CRam-2019-04-28_11-21.flac,2019 Creed Rd AM,28,04,19,11:21:00,2019/04/28,0
CRam-2019-04-28_10-22.flac,2019 Creed Rd AM,28,04,19,10:22:00,2019/04/28,0
CRam-2019-04-28_08-24.flac,2019 Creed Rd AM,28,04,19,08:24:00,2019/04/28,0
CRam-2019-04-28_07-25.flac,2019 Creed Rd AM,28,04,19,07:25:00,2019/04/28,0
CRam-2019-04-27_19-17.flac,2019 Creed Rd AM,27,04,19,19:17:00,2019/04/27,0
CRam-2019-04-27_18-18.flac,2019 Creed Rd AM,27,04,19,18:18:00,2019/04/27,0
CRam-2019-04-27_17-19.flac,2019 Creed Rd AM,27,04,19,17:19:00,2019/04/27,0
CRam-2019-04-27_16-16.flac,2019 Creed Rd AM,27,04,19,16:16:00,2019/04/27,0
CRam-2019-04-27_15-17.flac,2019 Creed Rd AM,27,04,19,15:17:00,2019/04/27,0
CRam-2019-04-27_14-18.flac,2019 Creed Rd AM,27,04,19,14:18:00,2019/04/27,0
CRam-2019-04-27_13-19.flac,2019 Creed Rd AM,27,04,19,13:19:00,2019/04/27,0
CRam-2019-04-27_11-21.flac,2019 Creed Rd AM,27,04,19,11:21:00,2019/04/27,0
CRam-2019-04-27_10-22.flac,2019 Creed Rd AM,27,04,19,10:22:00,2019/04/27,0
CRam-2019-04-27_09-23.flac,2019 Creed Rd AM,27,04,19,09:23:00,2019/04/27,0
CRam-2019-04-27_08-24.flac,2019 Creed Rd AM,27,04,19,08:24:00,2019/04/27,0
