filename,site,day,month,year,hour,date,val<Agelaius tricolor/Alternative Song>
CRam-2019-06-02_11-01.flac,2019 Creed Rd AM,02,06,19,11:01:00,2019/06/02,0
CRam-2019-06-01_11-01.flac,2019 Creed Rd AM,01,06,19,11:01:00,2019/06/01,0
CRam-2019-06-01_08-04.flac,2019 Creed Rd AM,01,06,19,08:04:00,2019/06/01,0
CRam-2019-05-31_11-01.flac,2019 Creed Rd AM,31,05,19,11:01:00,2019/05/31,0
CRam-2019-05-31_08-04.flac,2019 Creed Rd AM,31,05,19,08:04:00,2019/05/31,0
CRam-2019-05-30_11-01.flac,2019 Creed Rd AM,30,05,19,11:01:00,2019/05/30,2
CRam-2019-05-30_08-04.flac,2019 Creed Rd AM,30,05,19,08:04:00,2019/05/30,1
CRam-2019-05-29_11-01.flac,2019 Creed Rd AM,29,05,19,11:01:00,2019/05/29,0
CRam-2019-05-29_08-04.flac,2019 Creed Rd AM,29,05,19,08:04:00,2019/05/29,2
CRam-2019-05-28_11-01.flac,2019 Creed Rd AM,28,05,19,11:01:00,2019/05/28,1
CRam-2019-05-28_08-04.flac,2019 Creed Rd AM,28,05,19,08:04:00,2019/05/28,2
CRam-2019-05-06_19-17.flac,2019 Creed Rd AM,06,05,19,19:17:00,2019/05/06,0
CRam-2019-05-06_18-18.flac,2019 Creed Rd AM,06,05,19,18:18:00,2019/05/06,0
CRam-2019-05-06_17-19.flac,2019 Creed Rd AM,06,05,19,17:19:00,2019/05/06,0
CRam-2019-05-06_16-16.flac,2019 Creed Rd AM,06,05,19,16:16:00,2019/05/06,0
CRam-2019-05-06_15-17.flac,2019 Creed Rd AM,06,05,19,15:17:00,2019/05/06,0
CRam-2019-05-06_14-18.flac,2019 Creed Rd AM,06,05,19,14:18:00,2019/05/06,0
CRam-2019-05-06_13-19.flac,2019 Creed Rd AM,06,05,19,13:19:00,2019/05/06,0
CRam-2019-05-05_19-17.flac,2019 Creed Rd AM,05,05,19,19:17:00,2019/05/05,0
CRam-2019-05-05_18-18.flac,2019 Creed Rd AM,05,05,19,18:18:00,2019/05/05,0
CRam-2019-05-05_16-16.flac,2019 Creed Rd AM,05,05,19,16:16:00,2019/05/05,0
CRam-2019-05-05_15-17.flac,2019 Creed Rd AM,05,05,19,15:17:00,2019/05/05,0
CRam-2019-05-05_14-18.flac,2019 Creed Rd AM,05,05,19,14:18:00,2019/05/05,0
CRam-2019-05-05_13-19.flac,2019 Creed Rd AM,05,05,19,13:19:00,2019/05/05,0
CRam-2019-05-17_14-18.flac,2019 Creed Rd AM,17,05,19,14:18:00,2019/05/17,0
CRam-2019-05-15_14-18.flac,2019 Creed Rd AM,15,05,19,14:18:00,2019/05/15,0
CRam-2019-05-12_14-18.flac,2019 Creed Rd AM,12,05,19,14:18:00,2019/05/12,15
CRam-2019-05-11_14-18.flac,2019 Creed Rd AM,11,05,19,14:18:00,2019/05/11,4
CRam-2019-05-09_14-18.flac,2019 Creed Rd AM,09,05,19,14:18:00,2019/05/09,0
CRam-2019-05-08_15-17.flac,2019 Creed Rd AM,08,05,19,15:17:00,2019/05/08,1
CRam-2019-06-02_19-17.flac,2019 Creed Rd AM,02,06,19,19:17:00,2019/06/02,0
CRam-2019-06-02_18-18.flac,2019 Creed Rd AM,02,06,19,18:18:00,2019/06/02,0
CRam-2019-06-02_17-19.flac,2019 Creed Rd AM,02,06,19,17:19:00,2019/06/02,0
CRam-2019-06-02_15-17.flac,2019 Creed Rd AM,02,06,19,15:17:00,2019/06/02,0
CRam-2019-06-02_14-18.flac,2019 Creed Rd AM,02,06,19,14:18:00,2019/06/02,0
CRam-2019-06-02_13-19.flac,2019 Creed Rd AM,02,06,19,13:19:00,2019/06/02,0
CRam-2019-06-01_19-17.flac,2019 Creed Rd AM,01,06,19,19:17:00,2019/06/01,0
CRam-2019-06-01_18-18.flac,2019 Creed Rd AM,01,06,19,18:18:00,2019/06/01,0
CRam-2019-06-01_17-19.flac,2019 Creed Rd AM,01,06,19,17:19:00,2019/06/01,0
CRam-2019-06-01_16-16.flac,2019 Creed Rd AM,01,06,19,16:16:00,2019/06/01,0
CRam-2019-06-01_15-17.flac,2019 Creed Rd AM,01,06,19,15:17:00,2019/06/01,0
CRam-2019-06-01_14-18.flac,2019 Creed Rd AM,01,06,19,14:18:00,2019/06/01,0
CRam-2019-06-01_13-19.flac,2019 Creed Rd AM,01,06,19,13:19:00,2019/06/01,0
CRam-2019-05-31_19-17.flac,2019 Creed Rd AM,31,05,19,19:17:00,2019/05/31,0
CRam-2019-05-31_18-18.flac,2019 Creed Rd AM,31,05,19,18:18:00,2019/05/31,0
CRam-2019-05-31_17-19.flac,2019 Creed Rd AM,31,05,19,17:19:00,2019/05/31,0
CRam-2019-05-31_16-16.flac,2019 Creed Rd AM,31,05,19,16:16:00,2019/05/31,0
CRam-2019-05-31_15-17.flac,2019 Creed Rd AM,31,05,19,15:17:00,2019/05/31,0
CRam-2019-05-31_14-18.flac,2019 Creed Rd AM,31,05,19,14:18:00,2019/05/31,0
CRam-2019-05-31_13-19.flac,2019 Creed Rd AM,31,05,19,13:19:00,2019/05/31,0
CRam-2019-05-30_19-17.flac,2019 Creed Rd AM,30,05,19,19:17:00,2019/05/30,0
CRam-2019-05-30_18-18.flac,2019 Creed Rd AM,30,05,19,18:18:00,2019/05/30,23
CRam-2019-05-30_17-19.flac,2019 Creed Rd AM,30,05,19,17:19:00,2019/05/30,0
CRam-2019-05-30_16-16.flac,2019 Creed Rd AM,30,05,19,16:16:00,2019/05/30,0
CRam-2019-05-30_15-17.flac,2019 Creed Rd AM,30,05,19,15:17:00,2019/05/30,13
CRam-2019-05-30_14-18.flac,2019 Creed Rd AM,30,05,19,14:18:00,2019/05/30,0
