site_id,site,recording_id,year,month,day,validated
4979,2019 Iron Point,11202768,2019,4,24,present
4979,2019 Iron Point,11202769,2019,4,24,present
4979,2019 Iron Point,11202773,2019,4,24,present
4979,2019 Iron Point,11202774,2019,4,24,present
4979,2019 Iron Point,7090949,2019,4,24,present
4979,2019 Iron Point,7090950,2019,4,24,present
4979,2019 Iron Point,11202816,2019,4,25,present
4979,2019 Iron Point,11202817,2019,4,25,present
4979,2019 Iron Point,11202824,2019,4,25,present
4979,2019 Iron Point,11202825,2019,4,25,present
4979,2019 Iron Point,11202829,2019,4,25,present
4979,2019 Iron Point,11202832,2019,4,25,present
4979,2019 Iron Point,11202834,2019,4,25,present
4979,2019 Iron Point,11202835,2019,4,25,present
4979,2019 Iron Point,11202836,2019,4,25,present
4979,2019 Iron Point,11202837,2019,4,25,present
4979,2019 Iron Point,11202838,2019,4,25,present
4979,2019 Iron Point,11202840,2019,4,25,present
4979,2019 Iron Point,11202845,2019,4,25,present
4979,2019 Iron Point,11202848,2019,4,25,present
4979,2019 Iron Point,11202849,2019,4,25,present
4979,2019 Iron Point,11202851,2019,4,25,present
4979,2019 Iron Point,11202853,2019,4,25,present
4979,2019 Iron Point,11202855,2019,4,25,present
4979,2019 Iron Point,7090925,2019,4,25,present
4979,2019 Iron Point,7090926,2019,4,25,present
4979,2019 Iron Point,7090928,2019,4,25,present
4979,2019 Iron Point,7090929,2019,4,25,present
4979,2019 Iron Point,7090930,2019,4,25,present
4979,2019 Iron Point,7090931,2019,4,25,present
4979,2019 Iron Point,7090932,2019,4,25,present
4979,2019 Iron Point,7090933,2019,4,25,present
4979,2019 Iron Point,7090934,2019,4,25,present
4979,2019 Iron Point,7090936,2019,4,25,present
4979,2019 Iron Point,11202896,2019,4,26,present
4979,2019 Iron Point,11202897,2019,4,26,present
4979,2019 Iron Point,11202898,2019,4,26,present
4979,2019 Iron Point,11202899,2019,4,26,present
4979,2019 Iron Point,11202901,2019,4,26,present
4979,2019 Iron Point,11202903,2019,4,26,present
4979,2019 Iron Point,11202905,2019,4,26,present
4979,2019 Iron Point,11202906,2019,4,26,present
4979,2019 Iron Point,11202909,2019,4,26,present
4979,2019 Iron Point,11202910,2019,4,26,present
4979,2019 Iron Point,11202917,2019,4,26,present
4979,2019 Iron Point,11202919,2019,4,26,present
4979,2019 Iron Point,11202921,2019,4,26,present
