,,Pattern Matching Male Song,,Pattern Matching Male Chorus,,Pattern Matching Female Song,,Pattern Matching Hatchling,,Pattern Matching Nestling,,Pattern Matching Fledgling,,,,Pulse 1,,,,,,,,,Pulse 2,,,,,,,,,Pulse 3,,,,,,,,,Pulse 4,,,,,,,,,53,,55,,57,,59,,,,63,,,,,,,,,72,,74,75,,,"Text for the ""Results"" in the report",,,Text for the Key Dates and Outcomes Table,,,,,,,,VLookup,VLookup,,,VLookup,VLookup,VLookup,VLookup,,Used in Stats?
,,,,,,,,,,,,,,,,"MC start 
first male chorus >=4",MC end first day after male chorus <4,,"Hatchling Day / Brooding Start
first day p1n Alternate Song >=4, if no p1n then first day sp11 simple call >=4","Length ""incubation"" silence","Fledgling Call day
first day Simple Call 2>=4",~Age at Fledge Call Day,"Fledgling Disp 
Last day with Simple Call 2>=4","Abandoned 
1st day no calls","MC start 
first male chorus >=4",MC end first day after male chorus <4,,"Hatchling Day / Brooding Start
first day p1n Alternate Song >=4, if no p1n then first day sp11 simple call >=4","Length ""incubation"" silence","Fledgling Call day
first day Simple Call 2>=4",~Age at Fledge Call Day,"Fledgling Disp 
Last day with Simple Call 2>=4","Abandoned 
1st day no calls","MC start 
first male chorus >=4",MC end first day after male chorus <4,,"Hatchling Day 
first day p3n and count of YNC-p3  >=4 and count of YNC-p3, if no p2n then first day sp11 simple call >=4","Length ""incubation"" silence","Fledgling Call day
first day Simple Call 2>=4",~Age at Fledge Call Day,"Fledgling Disp 
Last day with Simple Call 2>=4","Abandoned 
1st day no calls","MC start 
first male chorus >=4",MC end first day after male chorus <4,,"Hatchling Day 
first day p4n with count of YNC-p4 >=4, if no p3n then first day sp11 simple call >=4","Length ""incubation"" silence","Fledgling Call day
first day Simple Call 2>=4",~Age at Fledge Call Day,"Fledgling Disp 
Last day with Simple Call 2>=4","Abandoned 
1st day no calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,91,,,,,,,
Site ID,Name,PMJ Name,# Present,PMJ Name,# Present,PMJ Name,# Present,PMJ Name,# Present,PMJ Name,# Present,PMJ Name,# Present,First Recording,Last Recording,p1mcstart,p1mcend,p1incstart,p1hatch,Length incubation silence,p1fledgestart,~Age at Fledge Call Day,p1fledgedisp,p1abandon,p2mcstart,p2mcend,p2incstart,p2hatch,"Length ""incubation"" silence",p2fledgestart,~Age at Fledge Call Day,p2fledgedisp,p2abandon,p3mcstart,p3mcend,p3incstart,p3hatch,"Length ""incubation"" silence",p3fledgestart,~Age at Fledge Call Day,p3fledgedisp,p3abandon,p4mcstart,p4mcend,p4incstart,p4hatch,"Length ""incubation"" silence",p4fledgestart,~Age at Fledge Call Day,p4fledgedisp,p4abandon,Insect sp30,#present,Insect sp31,# present,Insect sp32,# present,Insect sp33,# present,Pacific Tree Frog,# present,PTF corrected species,,Red-legged Frog,# present,Red-legged Frog SC2,# present,Bull Frog,# present,Manual?,Breeding Type,Complex Types,p1Outcome,p2Outcome,p3Outcome,p4Outcome,Site Results,Draft Site Results,Site Discussion (Unused - REVIEW),Distance to Colony,Approx Colony Size,Substrate,Site Description,County,Deployed by,email (REVIEW AND MOVE TO GROUPS),Site Notes (REVIEW AND GET RID OF),Group,Pretty Site Name,Skip Site,Comment for Skip Site,Number of Recordings,Latitude,Longitude,Altitude,eBird Hotspot,
2059,2017 Rush Ranch,2017 RR MStyp5,2572,2017 RR MC01,1173,2017 RR FS01,577,2017 RR Hatchling,30,2017 RR Nestling,280,2017 RR FC06,116,3/2/2017,7/24/2017,3/7/2017,4/12/2017,4/19/2017,5/1/2017,19,ND,ND,ND,5/3/2017,5/8/2017,5/15/2017,5/18/2017,5/30/2017,15,6/12/2017,13,6/22/2017,ND,6/2/2017,6/15/2017,6/16/2017,6/28/2017,13,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2017 RR Insect sp30-02,0,2017 RR Insect sp31-01,163,2017 RR Insect sp32-02,528,2017 RR Insect sp33,269,,,2017 RR PTF,1686,,,,,,,,Sequential,,Abandoned,Successful,Successful,n/a,"An initial breeding attempt progressed into early Brooding but was classified as Abandoned based on a brief occurrence of recordings containing Begging Calls followed by a rapid decline in Tricolored Blackbird vocal detections. Two additional breeding attempts occurred later in the season, each characterized by a complete sequence of recordings containing Nestling Begging Calls followed by Fledgling Begging Calls. The temporal spacing and partial overlap of these breeding attempts support classification of this colony as Complex. Recordings containing Fledgling Begging Calls were detected for the latter two attempts, and each was therefore classified as Successful. The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage; while recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",,,3m,800,"Bulrush, cattails","A 0.9-ha, stream-fed pond containing cattails and bulrushes, together covering approximately 60% of the pond. Grassland grazed by cattle surrounds the site.",Solano,Wendy Schackwitz,,,Solano County,2017 Rush Ranch,,,9979,38.2080,-122.0140,6,,Y
3150,2018 Iron Point,2018 Iron Point MStyp5,140,2018 IP MC01,115,2018 Iron Point FS01,0,2018 Iron Point Hatchling,0,2018 Iron Point Nestling,0,2018 Iron Point FC06,0,4/22/2018,5/19/2018,pre,4/25/2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 IP Insect sp30-02,,2018 IP Insect sp31-01,0,2018 IP Insect sp32-02,1,2018 Iron Point sp33,4,,,2018 IP PTF,36,,,,,,,,No Colony,,No Colony,n/a,n/a,n/a,"Tricolored Blackbird vocalizations were detected immediately following deployment; however, within six days detections declined to fewer than one recording per day containing vocalizations. Female Chatter detections were rare, indicating that sustained breeding effort was not established at this site. Construction activity adjacent to the site was temporally coincident with the deployment and may have contributed to the lack of colony establishment.
The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",,,15,2000,"Himalayan blackberry, willow","A 0.2-ha patch of Himalayan blackberry in a small area designated as open space surrounded by roadways, commercial stores, parking lots, and a housing development. Commercial and residential construction occurred within 80 m of the nesting site in 2018, and construction activities continued during the breeding period.",Sacramento,Wendy Schackwitz,,,Iron Point,2018 Iron Point,,,1988,38.6470,-121.1040,172,,
3348,2018 Markham Ravine Main,2018 Markham Ravine Main MStyp5,31,2018 MR MC01,0,2018 Markham Ravine Main FS01,7,2018 Markham Ravine Hatchling,0,2018 Markham Ravine Nestling,7,2018 Markham Ravine FC06,16,6/26/2018,7/23/2018,pre,pre,pre,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 MR Main Insect sp30-02 ,8,2018 MR Main Insect sp31-01,24,2018 MR Main Insect sp32-02,52,2018 MRM Insect 33,69,,,2018 MR M PTF,0,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"Reduced signal clarity and incomplete data due to device failure in the middle of the deployment precludes assignng dates for breeding stages. Detections of Fledgling Begging Calls early in the deployment suggest that the ARU was placed late into the breeding attempt. A manual review of the data revealed Female Chatter overlaping with Begging Calls, indicating an Asynchronous colony structure. The detection of Fledgling Begging Calls indicates that this colony was classified as Successful. The colony was adjacent to an active wetland mitigation construction project; however, construction activities were halted around the colony during the breeding period and did not appear to affect the observed breeding outcome.
The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.","Fledgling Begging Calls detected early in the deployment likely originated from an adjacent portion of the colony where fledging had already begun. Later-stage Begging Calls reflected the attempt recorded by this ARU. Despite reduced signal quality and incomplete data due to device failure late in the deployment, the presence of Fledgling Begging Calls confirms successful reproduction. The colony was adjacent to an active wetland mitigation construction project, though construction was halted around the colony during the breeding period and did not appear to affect breeding success.",,10m,1000,Himalayan blackberry,"Several patches of Himalayan blackberry, totaling approximately 0.6 ha, along Markham Ravine Creek. The site was surrounded by cultivated rice fields, open grassland, and a former irrigated hayfield that was under active construction as a wetland mitigation site during 2018. Construction halted around the colony during the breeding period.",Placer,Wendy Schackwitz,,"I think I have the Lat Lon incorrect for this one. It was entered as a Lat of 38.871629.
I believe it was 38.89. I was the one who placed this unit, and it was just East of the other unit on the mitigation property. I believe my GPS unit gave a bad result, or there was a typo. I have corrected this in the sites on Arbimon to reflect the true Lat.",Markham Ravine,2018 Markham Ravine,,,2165,38.8716,-121.4540,19,,
3366,2018 Markham Ravine westside,2018 Markham Ravine westside MStyp5,2,2018 MRW MC01,0,2018 Markham Ravine westside FS01,0,2018 Markham Ravine westside Hatchling,0,2018 Markham Ravine westside Nestling,100,2018 Markham Ravine westside FC06,8,6/26/2018,7/13/2018,pre,pre,pre,"before start, HBC absent",ND,pre,ND,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 MR W Insect sp30-02,9,2018 MR West Insect sp31-01,0,2018 MR West Insect sp32-02,0,2018 MR west Insect sp33,0,,,2018 MR W PTF,0,,,,,,,,Unknown,,Successful,n/a,n/a,n/a,This ARU is considered a duplicate dataset of 2018 Markham Ravine Main.,"Recordings were faint, but Nestling and Fledgling Begging Calls were detected in the earliest recordings, indicating the ARU was deployed during the Fledging stage of an initial attempt. A second, distinct sequence of Nestling Begging Calls followed, extending to the end of the deployment and indicating a second synchronous attempt. Detectable Fledgling Begging Calls across both periods confirm that reproduction was successful. This site was located adjacent to the same wetland mitigation construction area described above. ",,20m,1000,Himalayan blackberry,"Several patches of Himalayan blackberry, totaling approximately 0.6 ha, along Markham Ravine Creek. The site was surrounded by cultivated rice fields, open grassland, and a former irrigated hayfield that was under active construction as a wetland mitigation site during 2018. Construction halted around the colony during the breeding period.",Placer,Wendy Schackwitz,,,Markham Ravine,2018 Markham Ravine - West,Dupe,2018 Markham Ravine Main:,818,38.8890,-121.4680,17,,
3281,2018 Red Wing Ranch,2018 RWR MStyp5,55,2018 RWR MC01,0,2018 RWR FS01,313,2018 RWR Hatchling,0,2018 RWR Nestling,0,2018 RWR FC06,0,5/4/2018,6/4/2018,pre,pre,5/5/2018,5/17/2018,ND,ND,ND,ND,5/22/2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 RWR Insect sp30-02,12,2018 RWR Insect sp31-01,32,2018 RWR Insect sp32-02,153,2018 RWR Insect sp33,32,,,2018 RWR PTF,0,,,,,,,,Unknown,,Abandoned,n/a,n/a,n/a,"The ARU was deployed during Incubation. A limited number of Hatchling Begging Call detections were recorded, followed by a rapid cessation of Tricolored Blackbird detections. The brief occurrence of dependent-young vocalizations followed by complete acoustic absence supports classification of this breeding attempt as Abandoned. A small rain event was temporally coincident with the estimated date of hatching; however, the decline in Female Chatter detections preceded the rain event, and the cause of the Abandonment could not be determined from the available data. 
Tricolored Blackbird vocal detections were present in only a small number of recordings, resulting in reduced confidence in the assignment of breeding-stage dates. Dates were assigned based on the first detected vocalization; however, because detections were infrequent, the true onset of breeding stages likely occurred earlier and reported dates should be considered approximate. 
The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",,,NEED,3000,"Himalayan blackberry, Bulrush, cattails","A series of small copses of Himalayan blackberry alongside Yankee Slough. Most of the blackberry is on a private conservation preserve, Yankee Slough Preserve, that is closed to the public and accessible only with permission.",Placer,Deren Ross,rossierran@gmail.com,,Placer County,2018 Red Wing Ranch,,,2245,38.9624,-121.3460,33,,Y
2719,2018 Rush Ranch,2018 Rush Ranch MStyp5,542,2018 RR MC01,522,2018 Rush Ranch FS01,73,2018 Rush Ranch Hatchling,8,2018 Rush Ranch Nestling,124,2018 Rush Ranch FC06,115,2/9/2018,6/26/2018,5/4/2018,5/8/2018,5/14/2018,5/26/2018,18,6/11/2018,16,6/23/2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 RR Insect sp30-02,52,2018 RR Insect sp31-01,158,2018 RR Insect sp32-02,547,2018 RR Insect sp33,69,,,2018 RR PTF,2055,,,,,,,,Simple,,Successful,n/a,n/a,n/a,"Male Chorus detections began in March, but Female Chatter detections were not recorded until early May, indicating initiation of breeding. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful. The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage; while recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",,,3m,2000,"Bulrush, cattails","The colony nested in a 0.9-ha, stream-fed pond containing cattails and bulrushes, together covering approximately 60% of the pond. Grassland grazed by cattle surrounds the site.",Solano,Wendy Schackwitz,,,Solano County,2018 Rush Ranch,,,9043,38.2080,-122.0140,6,,Y
3682,2018 SJWA-rose-2,2018 SJWA rose-2 MStyp5,353,2018 SJWA rose-2 MC01,319,2018 SJWA rose-2 FS01,80,2018 SJWA rose-2 Hatchling,0,2018 SJWA rose-2 NC01,0,2018 SJWA rose-2 FC06,0,4/10/2018,4/27/2018,pre,4/20/2018,ND,ND,ND,ND,ND,ND,4/22/2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 SJWA Rose-2 Insect sp30-02,0,2018 SJWA rose 2 Insect sp31-01,32,2018 SJWA rose 2 Insect sp32-02,15,2018 SJWA rose-2 Insect sp33,17,,,2018 SJWA rose-2 PTF,389,,,,,,,,Unknown,,Abandoned,n/a,n/a,n/a,"Female Chatter detections indicative of early breeding activity were present initially, followed by a rapid cessation of Tricolored Blackbird vocal detections. No Begging Call detections from dependent young were recorded. This abrupt decline in detections supports classification of the breeding attempt as Abandoned shortly after initiation.
Helicopter noise was detected acoustically at the site and was temporally coincident with the inferred timing of Abandonment.
The ARU deployed at this site was a Song Meter, which produced high-quality recordings; however, direct comparisons to other datasets should be made with caution.",,,10,30000,"Bulrush, cattails",Four acre rectangular pond in a private duck club within the boundaries of the San Jacinto Wildlife Area. Surrounded by open fields belonging to the Wildlife Area. Most fields are currently left in natural state. ,Riverside,Rose Cook,,,San Jacinto Wildlife Area,2018 San Jacinto Wildlife Area - Bridge St. Pond,,,1154,33.8625,-117.0716,435,,
3417,2018 SJWA-rose-1,2018 SJWA r1 MStyp5,34,2018 SJWA r1 MC01,0,2018 SJWA r1 FS01,5,2018 SJWA r1 Hatchling,0,2018 SJWA r1 Nestling,0,2018 SJWA r1 FC06,0,4/2/2018,4/10/2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 SJWA Rose-1 Insect sp30-02,0,2018 SJWA rose-1 Insect sp31-01,0,2018 SJWA rose 1 Insect sp32-02,0,2018 SJWA rose-1 Insect sp33,0,,,2018 SJWA rose-1 PTF,83,,,,,,,,No Colony,,No Colony,n/a,n/a,n/a,"The ARU was deployed briefly before being relocated to another area within SJWA. This unit was located within the same colony as the 2018 San Jacinto Wildlife Area – Little Ramona ARU and is considered a duplicate of the primary Little Ramona dataset. Acoustic detections from this unit were insufficient to characterize breeding activity independently.
The ARU deployed at this site was a Song Meter, which produced high-quality recordings; however, direct comparisons to other datasets should be made with caution.",,,10,30000,"Bulrush, cattails","Unit placed on the levee surrounding Bridge St. Pond on the San Jacinto Wildlife Area.  To the west is private land, perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields. ",Riverside,Rose Cook,,,San Jacinto Wildlife Area,2018 San Jacinto Wildlife Area - Little Ramona,Dupe,2018 SJWA Little Ramona:,242,33.8690,-117.0860,434,,
