filename,site,day,month,year,hour,date,tag<YNC-p2>,tag<p1a>,tag<p1c>,tag<p1f>,tag<p1n>,tag<p2c>,tag<p2f>,tag<p2n>,tag<reviewed-MH-e2>,tag<reviewed-MH-e>,tag<reviewed-MH-h>,tag<reviewed-MH-m>,tag<reviewed-MH>,tag<reviewed-WS-e>,tag<reviewed-WS-m>,tag<reviewed-WS>,tag<reviewed>,val<Agelaius tricolor/Alternative Song 2>,val<Agelaius tricolor/Alternative Song>,val<Agelaius tricolor/Common Song>,val<Agelaius tricolor/Courtship Song>,val<Agelaius tricolor/Simple Call 2>,val<sp11/Simple Call>,val<sp22/Simple Call>
Rush_Ranch-2017-03-02_12-00.flac,2017 Rush Ranch,02,03,17,12:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_12-20.flac,2017 Rush Ranch,02,03,17,12:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_12-40.flac,2017 Rush Ranch,02,03,17,12:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_13-00.flac,2017 Rush Ranch,02,03,17,13:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,---,---,---,---
Rush_Ranch-2017-03-02_13-20.flac,2017 Rush Ranch,02,03,17,13:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_13-40.flac,2017 Rush Ranch,02,03,17,13:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_14-00.flac,2017 Rush Ranch,02,03,17,14:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,---,---,---,---
Rush_Ranch-2017-03-02_14-20.flac,2017 Rush Ranch,02,03,17,14:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_14-40.flac,2017 Rush Ranch,02,03,17,14:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_15-00.flac,2017 Rush Ranch,02,03,17,15:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,---,---,---,---
Rush_Ranch-2017-03-02_15-20.flac,2017 Rush Ranch,02,03,17,15:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_15-40.flac,2017 Rush Ranch,02,03,17,15:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_16-00.flac,2017 Rush Ranch,02,03,17,16:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,---,---,---,---
Rush_Ranch-2017-03-02_16-20.flac,2017 Rush Ranch,02,03,17,16:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_16-40.flac,2017 Rush Ranch,02,03,17,16:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_17-00.flac,2017 Rush Ranch,02,03,17,17:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,---,---,---
Rush_Ranch-2017-03-02_17-20.flac,2017 Rush Ranch,02,03,17,17:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,1,---,---,---
Rush_Ranch-2017-03-02_17-40.flac,2017 Rush Ranch,02,03,17,17:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_18-00.flac,2017 Rush Ranch,02,03,17,18:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,---,---,---,---
Rush_Ranch-2017-03-02_18-20.flac,2017 Rush Ranch,02,03,17,18:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_18-40.flac,2017 Rush Ranch,02,03,17,18:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_19-00.flac,2017 Rush Ranch,02,03,17,19:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,---,---,---,---
Rush_Ranch-2017-03-02_19-20.flac,2017 Rush Ranch,02,03,17,19:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_19-40.flac,2017 Rush Ranch,02,03,17,19:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_20-00.flac,2017 Rush Ranch,02,03,17,20:00:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,---,---,---,---
Rush_Ranch-2017-03-02_20-20.flac,2017 Rush Ranch,02,03,17,20:20:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
Rush_Ranch-2017-03-02_20-40.flac,2017 Rush Ranch,02,03,17,20:40:00,2017/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---,---,---,---
