Id,Name,Latitude,Longitude,Altitude,Timezone,Recordings_Count,Id
2059,2017 Rush Ranch,38.208,-122.014,30,America/Los_Angeles,9979,2059
3150,2018 Iron Point,38.647,-121.104,564,America/Los_Angeles,2014,3150
3348,2018 Markham Ravine,38.87163,-121.454,100,America/Los_Angeles,2165,3348
3366,2018 Markham Ravine westside,38.889,-121.468,100,America/Los_Angeles,818,3366
3281,2018 Red Wing Ranch,38.96242,-121.346,100,America/Los_Angeles,2245,3281
2719,2018 Rush Ranch,38.208,-122.014,30,America/Los_Angeles,9043,2719
3417,2018 SJWA-rose-1,33.688,-117.088,100,America/Los_Angeles,242,3417
3682,2018 SJWA-rose-2,33.7,-117,20,America/Los_Angeles,1154,3682
4554,2019 Colusa NWR 27-1,39.14399,-122.028,40,America/Los_Angeles,156,4554
5642,2019 Colusa NWR 27-1 AM,39.144,-122.028,40,America/Los_Angeles,5489,5642
5639,2019 Colusa NWR 27-1 telemetry station AM,39.137,-122.026,40,America/Los_Angeles,2597,5639
4553,2019 Colusa NWR 27-2,39.13739,-122.026,35,America/Los_Angeles,0,4553
5643,2019 Colusa NWR 27-2 AM,39.137,-122.026,35,America/Los_Angeles,1853,5643
4455,2019 Creed Road,38.241,-121.888,100,America/Los_Angeles,8258,4455
4456,2019 Hay Landfill,38.306,-121.825,100,America/Los_Angeles,6681,4456
4457,2019 Iron Point,38.647,-121.104,564,America/Los_Angeles,2149,4457
4979,2019 Iron Point AM,38.647,-121.104,564,America/Los_Angeles,7109,4979
4251,2019 Leguna Seca,36.58428,-121.756,100,America/Los_Angeles,2123,4251
5613,2019 Leguna Seca AM,36.584,-121.756,100,America/Los_Angeles,852,5613
4639,2019 Leisure Town AM,38.31994,-121.938,90,America/Los_Angeles,8075,4639
4492,2019 Markham Ravine,38.889,-121.468,100,America/Los_Angeles,5164,4492
4491,2019 Markham Ravine 2,38.889,-121.441,100,America/Los_Angeles,1452,4491
5640,2019 Markham Ravine 2 AM,38.889,-121.441,100,America/Los_Angeles,4247,5640
5637,2019 Markham Ravine AM,38.889,-121.468,100,America/Los_Angeles,4251,5637
4247,2019 Ohlone - Santa Lucia Preserve,36.5075,-121.879,200,America/Los_Angeles,2774,4247
5609,2019 Ohlone - Santa Lucia Preserve - AM,36.508,-121.879,200,America/Los_Angeles,199,5609
28863,2019 Ohlone - Santa Lucia Preserve try 2,36.508,-121.879,200,America/Los_Angeles,3828,28863
5638,2019 Rush Ranch,38.208,-122.014,30,America/Los_Angeles,10399,5638
4188,2019 Rush Ranch LG,38.208,-122.014,30,America/Los_Angeles,6618,4188
7657,2020 Conway Ranch,38,-121,0,America/Los_Angeles,1901,7657
2908,2020 Creed Road,38.241,-121.888,100,America/Los_Angeles,5524,2908
16223,2020 Fort Ord,36.58984,-121.714,100,America/Los_Angeles,2732,16223
6199,2020 Hay Landfill,38.306,-121.825,100,America/Los_Angeles,5499,6199
7650,2020 Iron Point,38.647,-121.104,564,America/Los_Angeles,4014,7650
6404,2020 Markham Ravine,38.872,-121.454,100,America/Los_Angeles,1808,6404
18572,2020 Ohlone - Santa Lucia Preserve,36.508,-121.879,200,America/Los_Angeles,5524,18572
2915,2020 Rush Ranch,38.208,-121.014,30,America/Los_Angeles,5497,2915
24130,2021 Colusa NWR 27-1,39.144,-122.028,40,America/Los_Angeles,8731,24130
24221,2021 Colusa NWR 27-2,39.137,-122.026,564,America/Los_Angeles,8621,24221
21652,2021 Conaway East,38.6386,-121.707,100,America/Los_Angeles,3297,21652
24652,2021 Conaway South,38.6376,-121.709,100,America/Los_Angeles,3298,24652
21591,2021 Conaway West,38.639,-121.71,100,America/Los_Angeles,3387,21591
21681,2021 Creed Road,38.241,-121.888,100,America/Los_Angeles,6874,21681
24122,2021 Dagnino Pond,37.74588,-121.744,100,America/Los_Angeles,5324,24122
21668,2021 Foley Ranch,39.07692,-121.494,1,America/Los_Angeles,2958,21668
21688,2021 Hale Road 2,39.08391,-121.516,100,America/Los_Angeles,2957,21688
11101,2021 Hay Landfill,38.306,-121.825,20,America/Los_Angeles,5970,11101
24658,2021 Iron Point,38.647,-121.104,564,America/Los_Angeles,6708,24658
24606,2021 Kern 1,35.677,-118.27,100,America/Los_Angeles,8142,24606
24544,2021 Kern 2,35.62,-118.476,100,America/Los_Angeles,7882,24544
24641,2021 Kern 3,35.731,-118.172,100,America/Los_Angeles,8030,24641
24655,2021 Kern 4,35.666,-118.307,100,America/Los_Angeles,7854,24655
26534,2021 Kern 5,35.66,-118.312,100,America/Los_Angeles,7911,26534
26535,2021 Kern 6,35.39545,-118.449,100,America/Los_Angeles,7880,26535
26536,2021 Kern 7,35.671,-118.29,100,America/Los_Angeles,7547,26536
26432,2021 Markham Ravine,38.872,-121.454,100,America/Los_Angeles,3894,26432
24231,2021 Orchard Creek,38.86183,-121.371,100,America/Los_Angeles,3954,24231
24233,2021 Panoche Creek Preserve 1W,36.59059,-120.769,100,America/Los_Angeles,7507,24233
24232,2021 Panoche Creek Preserve 2E,36.59072,-120.765,100,America/Los_Angeles,7507,24232
21537,2021 Plumas Arboga,39.0296,-121.537,100,America/Los_Angeles,1515,21537
24119,2021 Rancho Jamul,32.68459,-116.856,235.13,America/Los_Angeles,4997,24119
24651,2021 Reeds Creek North,39.1079,-121.507,100,America/Los_Angeles,1155,24651
24653,2021 Reeds Creek South,39.1049,-121.507,100,America/Los_Angeles,1155,24653
24252,2021 Rodeo Grounds 1,38.8627,-121.287,100,America/Los_Angeles,5465,24252
24549,2021 Rush Ranch,38.208,-122.014,30,America/Los_Angeles,6857,24549
11100,2021 Sedgwick,34.695,-120.042,1120,America/Los_Angeles,3941,11100
25171,2021 SJWA,33.7,-117,100,America/Los_Angeles,2026,25171
24107,2021 Willey Wetlands 1,38.77773,-121.564,100,America/Los_Angeles,4915,24107
24261,2021 Willey Wetlands 2,38.77505,-121.564,100,America/Los_Angeles,4914,24261
24263,2021 Willey Wetlands 3,38.77433,-121.564,100,America/Los_Angeles,4523,24263
24790,2021 Wind Wolves Preserve,34.9574,-119.132,100,America/Los_Angeles,6481,24790
34485,2022 Baja 1,32.53798,-116.318,100,America/Tijuana,7507,34485
34486,2022 Baja 2,32.53799,-116.318,100,America/Tijuana,0,34486
34044,2022 Colusa NWR T27.1,39.13733,-122.026,100,America/Los_Angeles,7178,34044
34079,2022 Colusa NWR T27.2,39.13741,-122.026,100,America/Los_Angeles,7736,34079
34115,2022 Conaway East,38.646,-121.694,100,America/Los_Angeles,7183,34115
34111,2022 Conaway New Easement Pond West,38.63886,-121.709,100,America/Los_Angeles,4743,34111
34112,2022 Conaway North,38.6547,-121.686,100,America/Los_Angeles,7898,34112
34113,2022 Conaway North A,38.6547,-121.686,100,America/Los_Angeles,7900,34113
34078,2022 Creed Road,38.241,-121.888,100,America/Los_Angeles,13269,34078
34118,2022 Foley Ranch A,39.07692,-121.494,100,America/Los_Angeles,3101,34118
34119,2022 Foley Ranch B,39.07692,-121.494,100,America/Los_Angeles,3104,34119
33966,2022 Hay Landfill,38.306,-121.825,100,America/Los_Angeles,14468,33966
34133,2022 Hulen Levee - Silveira,37.1442,-120.994,100,America/Los_Angeles,932,34133
34132,2022 Hulen Levee - Thistle,37.1442,-120.994,100,America/Los_Angeles,3229,34132
