Id,Name,Number of Recordings,Latitude,Longitude,Altitude,Timezone,Skip,Elevation (USGS),Altitude Original,Delta,,,elevation,DEM
2059,2017 Rush Ranch,9979,38.208,-122.014,6,America/Los_Angeles,,21.14,30,8.86,,,6.44,
3150,2018 Iron Point,1988,38.647,-121.104,172,America/Los_Angeles,,564.86,564,0.86,,,172.17,
3348,2018 Markham Ravine Main,2165,38.87163,-121.454,19,America/Los_Angeles,,62,100,,,,18.9,
3366,2018 Markham Ravine westside,818,38.889,-121.468,18,America/Los_Angeles,,58.68,100,,,,17.89,
3281,2018 Red Wing Ranch,2245,38.96242,-121.346,34,America/Los_Angeles,,110.57,100,,,,33.7,
2719,2018 Rush Ranch,9043,38.208,-122.014,6,America/Los_Angeles,,21.14,30,8.86,,,6.44,
82621,2018 SJWA WSS,1984,33.869,-117.086,0,America/Los_Angeles,,,,,,,470.62,
3417,2018 SJWA-rose-1,242,33.869,-117.086,471,America/Los_Angeles,Dupe,1544.04,100,,,,539.81,
3682,2018 SJWA-rose-2,1154,33.862495,-117.0716,540,America/Los_Angeles,,1771.01,20,1751.01,,,13.58,
5642,2019 Colusa NWR 27-1,5489,39.144,-122.028,14,America/Los_Angeles,,44.57,40,4.57,,,13.58,
4554,2019 Colusa NWR 27-1 LG,156,39.14399,-122.028,14,America/Los_Angeles,Y,44.55,40,4.55,,,13.42,
5639,2019 Colusa NWR 27-1 telemetry station AM,2597,39.137,-122.026,13,America/Los_Angeles,Y,44.02,40,4.02,,,13.42,
5643,2019 Colusa NWR 27-2,1853,39.137,-122.026,13,America/Los_Angeles,,44.02,35,9.02,,,12.78,
4455,2019 Creed Road,8258,38.241,-121.888,13,America/Los_Angeles,,41.93,100,,,,6.22,
4456,2019 Hay Landfill,6681,38.306,-121.825,6,America/Los_Angeles,,20.41,100,,,,172.17,
4979,2019 Iron Point,7109,38.647,-121.104,172,America/Los_Angeles,,564.86,564,0.86,,,172.17,
4457,2019 Iron Point LG,2149,38.647,-121.104,172,America/Los_Angeles,Y,564.86,564,0.86,,,227.92,
5613,2019 Laguna Seca,852,36.584,-121.756,228,America/Los_Angeles,Y,747.77,100,,,,228.22,
4251,2019 Laguna Seca LG,2123,36.58428,-121.756,228,America/Los_Angeles,Y,748.76,100,,,,27.19,
4639,2019 Leisure Town,8075,38.31994,-121.938,27,America/Los_Angeles,,89.22,90,0.78,,,17.89,
5637,2019 Markham Ravine,4251,38.889,-121.468,18,America/Los_Angeles,,58.68,100,,,,21.29,
5640,2019 Markham Ravine 2,4247,38.889,-121.441,21,America/Los_Angeles,,69.85,100,,,,21.29,
4491,2019 Markham Ravine 2 LG,1452,38.889,-121.441,21,America/Los_Angeles,Y,69.85,100,,,,17.89,
4492,2019 Markham Ravine LG,5164,38.889,-121.468,18,America/Los_Angeles,Y,58.68,100,,,,317.19,
5609,2019 Ohlone - Santa Lucia Preserve - AM,199,36.508,-121.879,317,America/Los_Angeles,Y,1040.63,200,840.63,,,306.5,
4247,2019 Ohlone - Santa Lucia Preserve LG,2774,36.5075,-121.879,307,America/Los_Angeles,Y,1005.58,200,805.58,,,317.19,
28863,2019 Ohlone - Santa Lucia Preserve try 2,3828,36.508,-121.879,317,America/Los_Angeles,Y,1040.63,200,840.63,,,6.44,
5638,2019 Rush Ranch,10399,38.208,-122.014,6,America/Los_Angeles,,21.14,30,8.86,,,6.44,
4188,2019 Rush Ranch LG,6618,38.208,-122.014,6,America/Los_Angeles,Y,21.14,30,8.86,,,49.11,
7657,2020 Conaway Ranch,1901,38.639,-121.709,49,America/Los_Angeles,,161.11,0,161.11,,,12.78,
2908,2020 Creed Road,5524,38.241,-121.888,13,America/Los_Angeles,,41.93,100,,,,55.32,
57589,2020 Fort Ord,3621,36.59,-121.714,55,America/Los_Angeles,,181.51,,,,,54.53,
16223,2020 Fort Ord - Old,2732,36.58984,-121.714,55,America/Los_Angeles,Y,178.92,100,,,,6.22,
6199,2020 Hay Landfill,5499,38.306,-121.825,6,America/Los_Angeles,,20.41,100,,,,172.17,
7650,2020 Iron Point,4014,38.647,-121.104,172,America/Los_Angeles,,564.86,564,0.86,,,19,
6404,2020 Markham Ravine,1808,38.872,-121.454,19,America/Los_Angeles,,62.35,100,,,,317.19,
18572,2020 Ohlone - Santa Lucia Preserve,4240,36.508,-121.879,317,America/Los_Angeles,,1040.63,200,840.63,,,54.11,
2915,2020 Rush Ranch,5497,38.208,-121.014,54,America/Los_Angeles,,177.54,30,147.54,,,13.58,
24130,2021 Colusa NWR 27-1,8731,39.144,-122.028,14,America/Los_Angeles,,44.57,40,4.57,,,13.42,
24221,2021 Colusa NWR 27-2,8621,39.137,-122.026,13,America/Los_Angeles,,44.02,564,519.98,,,9.41,
21652,2021 Conaway East,3297,38.6386,-121.707,9,America/Los_Angeles,Dupe,30.89,100,,,,9.51,
24652,2021 Conaway South,3298,38.6376,-121.709,10,America/Los_Angeles,,31.21,100,,,,9.17,
21591,2021 Conaway West,3387,38.639,-121.71,9,America/Los_Angeles,Dupe,30.09,100,,,,12.78,
21681,2021 Creed Road,6874,38.241,-121.888,13,America/Los_Angeles,,41.93,100,,,,179.83,
24122,2021 Dagnino Pond,5324,37.74588,-121.744,180,America/Los_Angeles,,590,100,,,,21.4,
21668,2021 Foley Ranch,2958,39.07692,-121.494,21,America/Los_Angeles,,70.2,1,69.2,,,18.42,
21688,2021 Hale Road 2,2957,39.08391,-121.516,18,America/Los_Angeles,,60.44,100,,,,6.22,
11101,2021 Hay Landfill,5970,38.306,-121.825,6,America/Los_Angeles,,20.41,20,0.41,,,172.17,
24658,2021 Iron Point,6708,38.647,-121.104,172,America/Los_Angeles,,564.86,564,0.86,,,813.27,
24606,2021 Kern 1,8142,35.677,-118.27,813,America/Los_Angeles,,2668.2,100,,,,757.49,
24544,2021 Kern 2,7882,35.62,-118.476,757,America/Los_Angeles,,2485.2,100,,,,865.35,
24641,2021 Kern 3,8030,35.731,-118.172,865,America/Los_Angeles,,2839.08,100,,,,804.53,
24655,2021 Kern 4,7854,35.666,-118.307,805,America/Los_Angeles,,2639.53,100,,,,804.36,
26534,2021 Kern 5,7911,35.66,-118.312,804,America/Los_Angeles,,2638.97,100,,,,1149.52,
26535,2021 Kern 6,7880,35.39545,-118.449,1150,America/Los_Angeles,,3771.38,100,,,,806.98,
26536,2021 Kern 7,7547,35.671,-118.29,807,America/Los_Angeles,,2647.57,100,,,,19,
26432,2021 Markham Ravine,3894,38.872,-121.454,19,America/Los_Angeles,,62.35,100,,,,27.59,
24252,2021 Orchard Creek,5465,38.86183,-121.371,28,America/Los_Angeles,,90.51,100,,,,314.15,
24233,2021 Panoche Creek Preserve 1W,7507,36.59059,-120.769,314,America/Los_Angeles,,1030.68,100,,,,305.96,
24232,2021 Panoche Creek Preserve 2E,7507,36.59072,-120.765,306,America/Los_Angeles,,1003.79,100,,,,16.6,
21537,2021 Plumas Arboga,1515,39.0296,-121.537,17,America/Los_Angeles,,54.45,100,,,,234.22,
24119,2021 Rancho Jamul,4997,32.68459,-116.856,234,America/Los_Angeles,,768.42,235.13,533.29,,,22.22,
24651,2021 Reeds Creek North,1155,39.1079,-121.507,22,America/Los_Angeles,Dupe,72.91,100,,,,20.74,
24653,2021 Reeds Creek South,1155,39.1049,-121.507,21,America/Los_Angeles,,68.05,100,,,,51.84,
24231,2021 Rodeo Grounds 1,3954,38.8627,-121.287,52,America/Los_Angeles,,170.07,100,,,,6.44,
24549,2021 Rush Ranch,6857,38.208,-122.014,6,America/Los_Angeles,,21.14,30,8.86,,,340.99,
11100,2021 Sedgwick,3941,34.695,-120.042,341,America/Los_Angeles,,1118.73,1120,1.27,,,539.81,
