Group Name,Pretty Group Name,Contact,Contact email,Group Introduction,Group Results,Group Discussion,Group Acknowledgment,,Wendy Reviewed Graphs
Bad/Delete,,,,,,,,,
Baja,,Richard Erickson,,,,"Across all Baja sites, no acoustic evidence of weather-related failure or abandonment was detected during the monitoring period. In contrast to several California sites in the broader dataset, all documented breeding attempts in Baja were successful, and multiple breeding attempts within a single season were common. Because these colonies occur outside the United States, their conservation presents unique management and coordination challenges. Integrating acoustic monitoring with genetic sampling, banding, or coordinated cross-border surveys could help determine whether Baja colonies function as a demographically distinct breeding group or are connected to the southernmost U.S. populations, with implications for rangewide conservation planning.",,,X
Central Sacramento Valley,,Robert Meese,,,"The recorders that you placed were largely successful at capturing the vocalizations of the colonies. There were only a handful that had uncertain outcomes. For one the batteries failed. This was probably before I discovered the Duracell Optimum, and I know that in at least one of your units the batteries actuallly exploded in the case. There were a handful of times when the recorder was retrieved after the majority of the birds were done breeding, but there was a little ghost of a few birds that apparently were still nesting. These were minor issues, as the bulk of the breeding attempt was captured on the recordings.

The recorders that you placed were largely successful at capturing the vocalizations of the colonies, with only only a handful that had uncertain outcomes. There were a couple instances of battery problems, with one ARU failing due to dead batteries and another having the batteries explode in the case. This was probably before I discovered the Duracell Optimum, as those have not had any issues that I'm aware of. There were a handful of times when the recorder was retrieved after the majority of the birds were done breeding, but there was a little ghost of a few birds that apparently were still nesting. These were minor issues, as the bulk of the breeding attempt was captured on the recordings.",,,,X
CNLM,,,,,,"Deployments on CNLM properties were often accompanied by in-person field notes, which were extremely useful in validating the analysis from the acoustic data. At the 2023 Panoche Creek Preserve Corrals site, extremely faint Hatchling Begging Calls were detected in the first recordings, indicating that brooding onset had occurred shortly before ARU deployment. Subsequent review of photographs taken on the deployment date confirmed the presence of newly hatched chicks, providing strong validation that detected Hatchingling Begging Calls accurately mark timing of brooding onset to within one to two days. Notably, this confirmation occurred after the acoustic analysis had been completed, underscoring the reliability of these vocal cues for reconstructing breeding chronology. Additionally, at the 2024 Dagnino Pond site, the in-person assessment of breeding stage prior to the placement of the ARU was consistent with the subsequent breeding stage assignments from the acoustic data. ",,,X
Colusa NWR,,,,,,"Colusa NWR provides extensive managed wetland habitat that is used repeatedly by Tricolored Blackbirds late in the breeding season. The timing of breeding activity suggests that, in some years, the same birds may initiate more than one breeding attempt while shifting among ponds within the refuge rather than remaining at a single location. Fledgling Begging Calls were occasionally detected at adjacent recording units during periods when local breeding activity had declined, consistent with post-fledging movement or sequential nesting across nearby wetlands. These patterns indicate that birds using Colusa NWR may function as a mobile local population rather than as discrete, site-bound colonies.

At Colusa sites, Partial Abandonment repeatedly coincided with periods of elevated temperature during early brooding. Although these observations do not establish causation, the consistency of this timing across years suggests that short-duration heat events may reduce nesting success without eliminating fledging entirely. This sensitivity of early brooding to extreme weather highlights the importance of distinguishing partial from complete breeding failure when evaluating management outcomes. It also suggests that investigating whether habitat management strategies could help mitigate the impacts of extreme temperatures and improve reproductive outcomes during challenging conditions.",,,X
Dairies,,,,,,"The dairy-associated sites documented Tricolored Blackbird colonies nesting on private lands where landowners generously allowed limited ARU deployment. To protect landowner privacy, reported coordinates represent only approximate locations rather than exact colony sites. Across all deployments, colonies exhibited strongly Asynchronous breeding structure, with prolonged overlap among Female Chatter, Nestling Begging Calls, and Fledgling Begging Calls. This pattern reflects continual nest initiation and a lack of colony-wide synchrony, resulting in extended breeding periods rather than discrete nesting pulses. All three colonies successfully fledged young.

The pronounced asynchrony observed at these sites is consistent with well-documented patterns at large colonies nesting in substrates that are not spatially constrained, such as open agricultural fields, rather than in tightly bounded habitats like marshes or blackberry patches. Two of the three colonies were established in triticale, a substrate used by a substantial portion of the Tricolored Blackbird population. Although triticale-supported colonies are underrepresented in this study due to access limitations on private working lands, the breeding structure documented here aligns closely with long-standing field observations of staggered nest initiation and extended breeding activity in these open substrates. These deployments demonstrate that ARU-based monitoring can effectively document breeding structure and outcomes at large, spatially diffuse colonies, providing a practical complement to in-person monitoring in habitats that support a substantial portion of the species’ population.",,,X
Iron Point,,"Jennifer Brown, Emilie Graves, Dan Ariola",,,,"The Iron Point deployments document a site where Tricolored Blackbirds repeatedly initiate breeding but rarely complete it successfully. Across five monitored seasons, colonies established in three years, yet only one resulted in a clearly successful outcome, with another ending in Partial Abandonment and two seasons failing to establish colonies despite early vocal activity. This pattern suggests that Iron Point functions as a marginal or unstable breeding site rather than a consistently productive colony location. The nesting substrate is small and embedded within a highly modified suburban matrix, and construction activity occurred within close proximity during multiple years. Acoustic records show rapid declines in vocal activity following brief periods of nest initiation, consistent with early abandonment or reduced recruitment. Together, these observations indicate that repeated disturbance, limited habitat extent, or surrounding land-use pressures likely constrain colony persistence and reproductive success at this site, even though birds continue to prospect and attempt breeding there.",,,X
Los Vaqueros,,,,,,"The Los Vaqueros colony has been monitored across multiple seasons by volunteers from the Mount Diablo Bird Alliance, providing a valuable longitudinal context that includes years of successful breeding, partial abandonment, and delayed colony initiation. Regular site visits yielded observations of colony size, fledgling presence, and potential disturbances, offering independent context for interpreting the acoustic record.
In one season, feral pigs disrupted the nesting substrate early in the breeding period, raising concern that this disturbance contributed to the weak initial breeding attempt. Volunteer observations led to rapid reporting and removal of the pigs, limiting the duration of the disturbance. Acoustic data show that Male Chorus continued uninterrupted through and after this event, and subsequent vocal patterns were consistent with colony persistence and successful fledging. There was a Partial Abandonment approximately ten days after the removal of the pigs. It is possible that the pigs created access for predators which caused the Partial Abandonment, though without additional information the remains speculative.
The Los Vaqueros results illustrate how multi-year acoustic monitoring can place individual disturbance events within a broader temporal framework. By resolving fine-scale changes in vocal activity across seasons, ARUs allow coincident stressors, such as weather anomalies and substrate disturbance, to be evaluated relative to baseline site behavior, complementing volunteer observations and improving confidence in interpretations of breeding outcome.",,,X
Markham Ravine,,"Tara, Charlotte",,,,"Markham Ravine illustrates how Tricolored Blackbird colony establishment and success at a single site can vary markedly among years in response to environmental conditions. In 2018, a colony established adjacent to an active wetland construction project, and breeding was successful after construction activities were halted near the nesting area and the site was monitored in coordination with land managers. In 2019 and 2020, colonies again formed but exhibited Partial Abandonment, with declines in breeding activity coinciding with rain events during early nesting stages. No colony formed in 2021, a year characterized by severe drought conditions. In 2023 a colony formed and was fully successful. In 2024, Tricolored Blackbirds were again absent during the deployment period; although the specific cause of non-occupancy is unknown, in-person visits noted a marked lack of insect activity at the site. Taken together, these results suggest that interannual variation in weather and food availability, rather than habitat restoration activities, likely played a primary role in determining colony establishment and outcomes at Markham Ravine. Acoustic monitoring provided a consistent record of these shifts, documenting both successful breeding when conditions were favorable and absence or failure when conditions were not.",,,X
Merced and San Luis NWR,,,,,,"Breeding failures at the Merced and San Luis NWR sites highlight a class of “silent” abandonment events that were not associated with acute temperature extremes or rainfall and therefore would not have been identifiable from acoustic data correlated with extreme weather alone. In these cases, ARU data documented the outcomes of breeding failure, but only in-person field visits revealed likely proximate causes, specifically deterioration of the nesting substrate. This contrast underscores both the limits of acoustic monitoring for diagnosing mechanism and the value of integrating targeted field observations to interpret drivers of abandonment.

In-person visits also provided an independent test of the validity of using the Acoustic Reproductive Index (ARI) to quantify the degree of abandonment. At the 2023 San Luis NWR Tanager Slough site, a moderate ARI value (ARI = 0.319) indicated modest Partial Abandonment. Field observations corroborated this pattern, documenting failure restricted to specific substrates, such as milk thistle, while birds nesting in adjacent, structurally stable substrates (e.g., willows) remained successful. In contrast, the 2023 San Luis NWR Fiddleneck Lake site exhibited a very low ARI value (ARI = 0.165), and field visits confirmed near-complete colony collapse, with rapid declines in colony size and no evidence of fledgling production, despite acoustic detection of a small number of fledgling calls.

Although acoustic data alone cannot diagnose substrate degradation, ARI-based metrics effectively captured both the magnitude and trajectory of breeding failure, distinguishing modest Partial Abandonment from severe collapse. Together, these results demonstrate that ARUs are well suited for identifying and grading breeding outcomes, while interpretation of underlying mechanisms is strengthened by complementary field observations, particularly when habitat structure rather than weather constrains reproductive success.

[[the ARI discussion probably isn't interesting to any of your readers of this particular document, although it's great for your paper. 

I gave chat the summaries for this site and asked for a discussion focused on land managers and NWR staff biologists. Here's what it said:

Across Merced and San Luis NWR sites, nesting substrate condition strongly influenced breeding outcomes. Colonies nesting primarily in annual forbs such as milk thistle (Silybum marianum) and mustard (Brassica spp.) frequently experienced Partial Abandonment or failure when these substrates desiccated and collapsed later in the season. In contrast, birds nesting in structurally stable vegetation such as willows often fledged young successfully under the same conditions. Sites supporting a mix of nesting substrates showed greater resilience, with some nests succeeding even when others failed. Together, these observations suggest that maintaining vegetation heterogeneity—particularly the availability of stable perennial substrates alongside annual forbs—may increase the likelihood of successful fledging within colonies.

Breeding failures and Partial Abandonment repeatedly coincided with periods of elevated temperature during early Brooding, indicating this stage may represent a critical vulnerability window. Heat stress may act directly on adults or nestlings, or indirectly by accelerating deterioration of nesting substrates. From a management perspective, these patterns highlight early Brooding as a key period when actions such as retaining surface water, maintaining vegetative cover, or delaying drawdowns during heat events could help buffer colonies and improve breeding outcomes.

]]",,,X
Monterey,,,,,,"The Monterey sites supported consistent Tricolored Blackbird breeding across multiple years and habitat types, with colonies exhibiting Simple, Sequential, and Asynchronous formation patterns and uniformly successful outcomes. All confirmed colonies produced fledglings, including those with faint acoustic signals or reduced detection of early-stage vocalizations. In several cases, particularly at Laguna Seca, early nesting activity was difficult to resolve acoustically; nevertheless, the duration and structure of Begging Calls were sufficient to reconstruct breeding chronology and confirm successful reproduction. Asynchronous colonies at Ohlone Pond showed prolonged overlap of Female Chatter with Nestling and Fledgling Begging Calls, indicating staggered nest initiation across breeding pairs. No acoustic evidence of abandonment or weather-driven failure was detected at Monterey sites, suggesting that conditions during the monitored years were sufficient to support successful breeding. Together, these results highlight the utility of ARU monitoring for resolving breeding outcomes and colony structure even at small, acoustically challenging, or partially obscured sites.

[[this is probably fine, but depending on who the audience is then there could be other points to make. depends how much effort you want to put in. ]] ",,,X
Oregon,,,,,,"The Oregon sites supported small but productive Tricolored Blackbird colonies, with successful breeding documented at four of six deployments. Colony sizes were generally small, and Male Chorus was often weak or absent, likely reflecting limited numbers of birds. Despite this, Begging Calls from dependent young provided clear and reliable evidence of reproductive success. In one case, a Partial Abandonment coincided with a brief period of elevated temperature and precipitation, consistent with weather-associated impacts observed elsewhere in the dataset. Together, these results show that ARU monitoring can resolve breeding outcomes and colony structure even where vocal activity is sparse and colonies would be difficult to assess through brief field visits alone.

[[given it's a small colony, this seems fine, but may want something richer if it's going to a land manager]]",,,X
Placer County,,Deren Ross,,,,"The Placer County sites illustrate the value of combining field observations with acoustic monitoring to determine colony outcomes. At Red Wing Ranch, acoustic data indicated breeding failure in 2018 and the absence of breeding activity in 2019, both of which were supported by in-person field observations. In 2021, acoustic analysis at Orchard Creek identified a large, productive colony with extended and overlapping breeding activity, consistent with field observations documenting staggered nesting, prolonged provisioning, and the presence of fledglings.
At 2021 Rodeo Grounds, in-person surveys documented a sharp decline in bird numbers following initial settlement, leading to uncertainty about whether the colony had fledged or failed. Acoustic analysis resolved this ambiguity by documenting a coherent sequence of Nestling and Fledgling Begging Calls, confirming successful reproduction from a small, synchronous breeding attempt despite low colony size and limited visual detectability. Across sites, the close correspondence between in-person observations and acoustic results provides independent validation of the bioacoustic interpretations, while the Rodeo Grounds example demonstrates how ARU data can clarify breeding outcomes when visual observations alone are inconclusive due to distance, vegetation structure, or low activity levels.
[[Para 1 - what is ""prolonged provisioning""? Overall -- seems fine, depends on audience.]]",,,X
Rancho Jamul,,,,,,"The Rancho Jamul sites consistently supported productive Tricolored Blackbird colonies across multiple years, with five of six independent deployments documenting successful breeding and a total of seven successful breeding bouts. Colony formation types were diverse, including Simple, Asynchronous, Sequential, and Complex structures, indicating both temporal flexibility and repeated site use. Several colonies exhibited overlapping breeding stages or multiple nesting bouts within a season, patterns that were clearly resolved through acoustic data even when early-stage vocalizations were faint or partially masked by background noise. Notably, Fledgling Begging Calls provided unambiguous confirmation of reproductive success at all successful sites, including cases where early nesting activity was weak or distant from the recorder. In contrast, analysis of the recordings from 2024 Rancho Jamul North Pond documented only limited Male Song without subsequent Female Chatter or Begging Calls, indicating presence without colony establishment. Together, these results demonstrate that Rancho Jamul provides reliable breeding habitat across years, while also illustrating the value of continuous acoustic monitoring for distinguishing true colony establishment from transient site use and for resolving complex or asynchronous breeding dynamics that would be difficult to characterize through intermittent field visits alone. 
[[This is a bit weird ..""temporal flexibility""? Were there field visits that you can compare this to? What would the audience care about?]]",,,X
San Bernardino,,,,,,"The Newberry Springs sites illustrate both the utility and the limitations of bioacoustic monitoring when access is constrained. Deployment at this location was necessarily brief due to restrictions imposed by the local Homeowners Association, which limited recorder placement to short windows late in the breeding season. Despite this constraint, acoustic evidence confirmed successful reproduction in two years, as indicated by the presence of Fledgling Begging Calls. Because recorders were deployed after early nesting stages and retrieved before dispersal, breeding chronology and colony formation type could not be resolved and were therefore classified as Unknown. These results demonstrate that even short-duration deployments can reliably confirm reproductive success, while also highlighting that limited access reduces the ability to characterize breeding structure, timing, and potential disturbances.
[[again seems mostly fine, depends on audience]]",,,X
San Jacinto Wildlife Area,,,,,,"The San Jacinto Wildlife Area supported repeated Tricolored Blackbird breeding activity across multiple years, but outcomes varied substantially among sites and years, reflecting both environmental sensitivity and disturbance exposure. Between 2018 and 2024, six of seven independent deployments documented colony establishment, with four successful breeding attempts and three abandonments. In 2018, two colonies initiated breeding but abandoned shortly after onset of brooding; in both cases, abrupt cessation of vocal activity coincided with helicopter disturbance detected acoustically, suggesting acute disturbance as a likely driver of failure. In 2021, breeding again progressed to early brooding before collapsing during an extreme heat event, consistent with heat-related abandonment during a vulnerable stage. In contrast, colonies in 2022, 2023, and 2024 successfully fledged young, including both Asynchronous and Sequential colony formation types, demonstrating that the site can support successful reproduction when conditions are favorable. Notably, the 2023 West of Davis deployment captured two temporally distinct successful breeding attempts, with the second involving fewer birds but still producing fledglings, illustrating intra-seasonal variability in colony size and effort. Together, these results highlight San Jacinto Wildlife Area as a site with recurring colony establishment but pronounced interannual sensitivity to disturbance and weather, underscoring the value of continuous acoustic monitoring for resolving both breeding outcomes and proximate causes of failure.
[[like above, it seems fine but depends on the audience]]",,,X
Sedgwick,Sedgwick Preserve,Heather,,,,"The Sedgwick Preserve colonies present a distinct acoustic context compared to many other monitored sites. Colonies at this location are relatively small and co-occur with Red-winged Blackbirds and Marsh Wren, whose vocalizations can easily be false positives for Tricolored Blackbird calls. In addition, Sedgwick periodically exhibits prolonged or near-continuous breeding activity, resulting in extended overlap of loud vocalizations such as Male Chorus and Fledgling Begging Calls. Together, these factors reduce detectability of quieter vocalizations and require careful validation.
Despite these challenges, all four deployments documented colony establishment, and confirmed successful fledging in three of the four years. The fourth deployment was on track for documenting successful fledging until the batteries died. Colony formation types were consistent across years, with Sequential nesting detected in one year and Asynchronous nesting in others. In 2023, in-person monitoring independently documented nest building, fledgling presence, and dispersal, and these observations closely aligned with acoustic interpretations, including the timing of fledgling dispersal inferred from a sharp decline in Fledgling Begging Calls. Notably, acoustic analyses were conducted without reference to field notes, providing independent confirmation of breeding outcomes and stage transitions.
The site’s protected status and access to surrounding foraging habitat likely contribute to its repeated use and relatively stable breeding outcomes. Future deployments of the ARU should occur by early March, as most of the deployments in this study were done after the colony was already active. Continued acoustic monitoring, supplemented by periodic field observations, will help clarify whether the colony’s recurrent asynchronous structure reflects local habitat conditions, colony size, or intrinsic breeding dynamics.",Sedgwick Reserve,,X
