Site_ID,Site_Name,Pulse_Name,Outcome,ARI_Status,ARI_Class,ARI_Class_Threshold,ARI_Female_Denominator_Confidence,Breeding_Type,Complex_Types,Hatch_Date,Substrate,Colony_Size,Deployment_Start,Deployment_End,ARI_Window_Female_Start,ARI_Window_Female_End,Incubation_Days,ARI_Total_Female_Recordings,Female_Detection_Recordings,Female_Detection_Rate,ARI_Window_Nestling_Start,ARI_Window_Nestling_End,Nestling_Days,ARI_Total_Nestling_Recordings,Nestling_Detection_Recordings,Nestling_Detection_Rate,ARI,Fledgling_Window_Start,Fledgling_Window_End,Fledgling_Days,Fledgling_Total_Recordings,Fledgling_Detection_Recordings,Fledgling_Detection_Rate,Fledglings_Present,Latest_Fledgling_Rec
2059,2017 Rush Ranch,2017 Rush Ranch p1,Abandoned,OK,No detected offspring acoustic evidence,0.5,Moderate female denominator,Sequential,,~2017-04-29,"Bulrush, cattails",800,2017-03-02,2017-07-24,2017-04-20,2017-04-26,7,273,7,0.026,2017-05-04,2017-05-10,7,273,0,0.0,0.0,2017-05-08,2017-05-15,8,312,0,0.0,No,ND
2059,2017 Rush Ranch,2017 Rush Ranch p2,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Sequential,,2017-05-30,"Bulrush, cattails",800,2017-03-02,2017-07-24,2017-05-21,2017-05-27,7,273,150,0.549,2017-06-04,2017-06-10,7,234,129,0.551,1.004,2017-06-08,2017-06-15,8,312,33,0.106,Yes,2017-06-15
2059,2017 Rush Ranch,2017 Rush Ranch p3,Successful,OK,Reduced offspring acoustic activity,0.5,Stable female denominator,Sequential,,2017-06-29,"Bulrush, cattails",800,2017-03-02,2017-07-24,2017-06-20,2017-06-26,7,273,90,0.33,2017-07-04,2017-07-10,7,138,15,0.109,0.33,2017-07-08,2017-07-15,8,234,2,0.009,Yes,2017-07-13
3150,2018 Iron Point,2018 Iron Point p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,Himalayan blackberry,2000,2018-04-22,2018-05-19,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
3348,2018 Markham Ravine Main,2018 Markham Ravine p1,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Unknown,,NHD,Himalayan blackberry,1000,2018-06-26,2018-07-23,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
3366,2018 Markham Ravine westside,2018 Markham Ravine - West p1,Successful,NHD,Not ARI-scorable,0.5,Not evaluated,Unknown,,NHD,Himalayan blackberry,1000,2018-06-26,2018-07-13,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
3281,2018 Red Wing Ranch,2018 Yankee Slough Ranch Preserve p1,Abandoned,ND_INVALID_BREEDING_TYPE,Not ARI-scorable,0.5,Stable female denominator,Unknown,,2018-05-17,"Himalayan blackberry, Bulrush, cattails",3000,2018-05-04,2018-06-04,2018-05-08,2018-05-14,7,273,122,0.447,2018-05-22,2018-05-28,7,273,0,0.0,,2018-05-26,2018-06-02,8,311,0,0.0,No,ND
2719,2018 Rush Ranch,2018 Rush Ranch p1,Successful,OK,High offspring acoustic activity,0.5,Stable female denominator,Simple,,2018-05-26,"Bulrush, cattails",2000,2018-02-09,2018-06-26,2018-05-17,2018-05-23,7,546,39,0.071,2018-05-31,2018-06-06,7,272,18,0.066,0.93,2018-06-04,2018-06-11,8,311,4,0.013,Yes,2018-06-11
3682,2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - Bridge St. Pond p1,Abandoned,NHD,Not ARI-scorable,0.5,Not evaluated,Unknown,,NHD,"Bulrush, cattails",30000,2018-04-10,2018-04-27,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
3417,2018 SJWA-rose-1,2018 San Jacinto Wildlife Area - Little Ramona p1,No Colony,NHD,Not ARI-scorable,0.5,Not evaluated,No Colony,,NHD,"Bulrush, cattails",30000,2018-04-02,2018-04-10,ND,ND,0,0,0,0.0,ND,ND,0,0,0,0.0,,ND,ND,0,0,0,0.0,No,NHD
