Group,Name,
Sedgwick,Sedgwick Preserve,
Los Vaqueros,Mount Diablo Bird Alliance,
Los Vaqueros,Contra Costa Water District,
CNLM,Center for Natural Lands Management,
Sacramento National Wildlife Refuge Complex,Sacramento National Wildlife Refuge Complex,
Monterey,Santa Lucia Conservancy,
Merced and San Luis NWR,Merced and San Luis National Wildlife Refuges,
Markham Ravine,Westervelt Ecological Services,
Rancho Jamul,California Department of Fish and Wildlife,
San Jacinto Wildlife Area,California Department of Fish and Wildlife,
Washington,Washington Department of Fish and Wildlife,
Wind Wolves Preserve,The Wildlands Conservancy,
Sedgwick,Heather Constable,
Sedgwick,Nicole Evans,
Sedgwick,Mark Holmgren,
Sedgwick,Meredith Honig,
Washington,Jason Fidorra,
Iron Point,Dan Airola,
Iron Point,Jennifer Brown,
Iron Point,Emilie Graves,"UC Davis, Environmental Science & Policy Department"
Baja,Dick Erickson,
CNLM,Eric Olson,
CNLM,Amy Richey,
CNLM,Debi Shearwater,
CNLM,Ben Teton,
Monterey,Emma Levy,Conservation Ecologist
Monterey,Amanda Preece,
Monterey,Brian Woodward,Conservation Ecologist
Monterey,Christy Wycoff,Conservation Ecologist
Sacramento National Wildlife Refuge Complex,Mike Carpenter,
Sacramento National Wildlife Refuge Complex,Michael D'Errico,
Sacramento National Wildlife Refuge Complex,Jennifer Isola,
Dairies,Jesse Bahm,
Los Vaqueros,Alan Bade,
Los Vaqueros,Jerald A. Britten,
Markham Ravine,Tara Collins,
Markham Ravine,Charlotte Marks,
Oregon,Charles Gates,
Oregon,Ken Hashagen,
Merced and San Luis NWR,Fumika Takahashi,Wildlife Biologist
Placer County,Deren Ross,
Rancho Jamul,John Martin,
Rancho Jamul,Tracie Nelson,
San Bernardino,Dave Goodward,
San Jacinto Wildlife Area,Stefan Awender,
San Jacinto Wildlife Area,Rose Cook,
San Jacinto Wildlife Area,Dave Goodward,
San Jacinto Wildlife Area,Tom Trakes,
Southern Sierra Research Station,Pat Lorch,
Wind Wolves Preserve,Travis Bibee,
Wind Wolves Preserve,Daisy Carrillo,
Wind Wolves Preserve,Melissa Dabulamanzi,
Wind Wolves Preserve,Landon Peppel,
Placer County,Ron Smith and Russ Kuhn,Redwing Ranch Preserve access - Property Manager Ron Smith and Property Owner Russ Kuhn.
Los Vaqueros,Susana de Trapaga,Field Visits
Los Vaqueros,Elisa Fernandes-McDade,Field Visits
Los Vaqueros,Srikant Char,Field Visits
Los Vaqueros,Julie Van Vemden,Field Visits
Sedgwick,Guy Tingos,Field Visits
Sedgwick,Peter Schneekloth,Field Visits
Sedgwick,Laura Baldwin,Field Visits
Sedgwick,Brenda Juarez,Field Visits
Sedgwick,Marge Erickson,Field Visits
Sedgwick,Mike Thomas,Field Visits
Sedgwick,Tim Matthews,Field Visits
Sedgwick,Paul Collins,Field Visits
Sedgwick,Ryanne Pritchard Bee,Field Visits
Sedgwick,Rick Skillin,Field Visits
Sedgwick,Douglas Long,Field Visits
Sedgwick,Dennis Nord,Field Visits
