Site,Pulse 1 Male Chorus,Pulse 1 Female,Pulse 1 Hatchling,Pulse 1 Nestling,Pulse 1 Fledgling,Pulse 2 Male Chorus,Pulse 2 Female,Pulse 2 Hatchling,Pulse 2 Nestling,Pulse 2 Fledgling,Pulse 3 Male Chorus,Pulse 3 Female,Pulse 3 Hatchling,Pulse 3 Nestling,Pulse 3 Fledgling,Pulse 4 Male Chorus,Pulse 4 Female,Pulse 4 Hatchling,Pulse 4 Nestling,Pulse 4 Fledgling
2024 Baja Lago Mesa Redonda,No data,No data,No data,No data,"First: 05/03
Last: 07/07","First: On or before 05/02
Last: 05/17",No data,"First: On or before 05/02
Last: 05/02","First: On or before 05/02
Last: 05/12",No data,No data,No data,"First: 05/24
Last: 05/26","First: 05/28
Last: 06/23",No data,"First: 06/02
Last: 06/03",No data,"First: 06/21
Last: 06/21",No data,No data
2024 Baja Rancho Cinega Redonda 1,No data,"First: On or before 04/23
Last: 04/23","First: 04/28
Last: 04/30","First: 04/28
Last: 05/09","First: 05/06
Last: 06/21","First: 04/24
Last: 05/12",No data,No data,"First: 05/29
Last: 06/05","First: 07/07
Last: 07/09","First: 05/28
Last: 06/07",No data,No data,"First: 06/23
Last: 06/23",No data
2024 Baja Rancho Cinega Redonda 2,No data,"First: On or before 04/23
Last: 05/03","First: 04/30
Last: 05/04","First: 04/30
Last: 05/16","First: 05/10
Last: 05/27","First: 04/27
Last: 04/30","First: 05/22
Last: 06/09","First: 06/05
Last: 06/09","First: 06/04
Last: 06/21","First: 06/12
Last: 06/12","First: 05/16
Last: 05/22",No data,No data,No data,"First: 06/28
Last: 06/29",No data,No data,No data,No data,"First: 07/18
Last: 07/20"
2024 Colusa NWR T27.1,"First: 05/25
Last: 05/31","First: 05/30
Last: 06/11",No data,"First: 06/16
Last: 06/18",No data
2024 Colusa NWR T27.2,"First: 06/18
Last: 06/23",No data,No data,No data,No data
2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,No data,No data,No data,No data,"First: 05/26
Last: 05/26",No data,"First: On or before 05/21
Last: 05/21",No data,"First: 06/05
Last: 06/05","First: 06/16
Last: 06/19"
2024 Kern 1 - check lat lon
2024 Los Vaqueros Reservoir,"First: 03/15
Last: 04/23","First: 04/21
Last: 04/26","First: 06/11
Last: 06/11","First: 06/13
Last: 06/21","First: 06/18
Last: On or after 06/24","First: 05/17
Last: 05/26","First: 05/23
Last: 05/23",No data,No data,No data,No data,"First: 06/08
Last: 06/15",No data,No data,No data
2024 Merced NWR - Cottonwood Trail,No data,No data,No data,No data,"First: 05/18
Last: 06/06","First: On or before 04/25
Last: 05/02","First: 05/10
Last: 05/11",No data,"First: 05/30
Last: 05/31",No data,"First: 05/20
Last: 05/27",No data,No data,No data,No data
2024 Newberry Springs,No data,No data,No data,No data,"First: On or before 05/27
Last: On or after 06/02",No data,No data,No data,"First: 05/28
Last: On or after 06/02",No data
