Site	Date	Recording_Name	Row_Index	Error_Type	Column	Invalid_Value
2017 Rush Ranch	2017-03-02 12:00:00	Rush_Ranch-2017-03-02_12-00.flac	0	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-02 12:00:00	Rush_Ranch-2017-03-02_12-00.flac	0	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-02 12:00:00	Rush_Ranch-2017-03-02_12-00.flac	0	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-03 15:00:00	Rush_Ranch-2017-03-03_15-00.flac	81	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-03 15:00:00	Rush_Ranch-2017-03-03_15-00.flac	81	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-03 15:00:00	Rush_Ranch-2017-03-03_15-00.flac	81	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-03 20:00:00	Rush_Ranch-2017-03-03_20-00.flac	96	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-03 20:00:00	Rush_Ranch-2017-03-03_20-00.flac	96	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-03 20:00:00	Rush_Ranch-2017-03-03_20-00.flac	96	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 06:00:00	Rush_Ranch-2017-03-04_06-00.flac	126	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 06:00:00	Rush_Ranch-2017-03-04_06-00.flac	126	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 06:00:00	Rush_Ranch-2017-03-04_06-00.flac	126	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 07:00:00	Rush_Ranch-2017-03-04_07-00.flac	129	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 07:00:00	Rush_Ranch-2017-03-04_07-00.flac	129	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 08:00:00	Rush_Ranch-2017-03-04_08-00.flac	132	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 08:00:00	Rush_Ranch-2017-03-04_08-00.flac	132	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 08:00:00	Rush_Ranch-2017-03-04_08-00.flac	132	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 09:00:00	Rush_Ranch-2017-03-04_09-00.flac	135	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 09:00:00	Rush_Ranch-2017-03-04_09-00.flac	135	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 09:00:00	Rush_Ranch-2017-03-04_09-00.flac	135	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 10:00:00	Rush_Ranch-2017-03-04_10-00.flac	138	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 10:00:00	Rush_Ranch-2017-03-04_10-00.flac	138	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 10:00:00	Rush_Ranch-2017-03-04_10-00.flac	138	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 11:00:00	Rush_Ranch-2017-03-04_11-00.flac	141	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 11:00:00	Rush_Ranch-2017-03-04_11-00.flac	141	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 11:00:00	Rush_Ranch-2017-03-04_11-00.flac	141	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 12:00:00	Rush_Ranch-2017-03-04_12-00.flac	144	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 12:00:00	Rush_Ranch-2017-03-04_12-00.flac	144	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 12:00:00	Rush_Ranch-2017-03-04_12-00.flac	144	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 13:00:00	Rush_Ranch-2017-03-04_13-00.flac	147	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 13:00:00	Rush_Ranch-2017-03-04_13-00.flac	147	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 13:00:00	Rush_Ranch-2017-03-04_13-00.flac	147	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 14:00:00	Rush_Ranch-2017-03-04_14-00.flac	149	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 14:00:00	Rush_Ranch-2017-03-04_14-00.flac	149	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 14:00:00	Rush_Ranch-2017-03-04_14-00.flac	149	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 15:00:00	Rush_Ranch-2017-03-04_15-00.flac	152	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 15:00:00	Rush_Ranch-2017-03-04_15-00.flac	152	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 15:00:00	Rush_Ranch-2017-03-04_15-00.flac	152	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 16:00:00	Rush_Ranch-2017-03-04_16-00.flac	155	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 16:00:00	Rush_Ranch-2017-03-04_16-00.flac	155	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 16:00:00	Rush_Ranch-2017-03-04_16-00.flac	155	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 17:00:00	Rush_Ranch-2017-03-04_17-00.flac	158	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 17:00:00	Rush_Ranch-2017-03-04_17-00.flac	158	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 17:00:00	Rush_Ranch-2017-03-04_17-00.flac	158	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 18:00:00	Rush_Ranch-2017-03-04_18-00.flac	161	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 18:00:00	Rush_Ranch-2017-03-04_18-00.flac	161	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 18:00:00	Rush_Ranch-2017-03-04_18-00.flac	161	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 19:00:00	Rush_Ranch-2017-03-04_19-00.flac	164	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 19:00:00	Rush_Ranch-2017-03-04_19-00.flac	164	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 19:00:00	Rush_Ranch-2017-03-04_19-00.flac	164	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-04 20:00:00	Rush_Ranch-2017-03-04_20-00.flac	167	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-04 20:00:00	Rush_Ranch-2017-03-04_20-00.flac	167	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-04 20:00:00	Rush_Ranch-2017-03-04_20-00.flac	167	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 06:00:00	Rush_Ranch-2017-03-05_06-00.flac	197	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 06:00:00	Rush_Ranch-2017-03-05_06-00.flac	197	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 06:00:00	Rush_Ranch-2017-03-05_06-00.flac	197	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 07:00:00	Rush_Ranch-2017-03-05_07-00.flac	200	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
2017 Rush Ranch	2017-03-05 07:00:00	Rush_Ranch-2017-03-05_07-00.flac	200	Non-numeric in C1	val<Agelaius tricolor/Alternative Song>	---
2017 Rush Ranch	2017-03-05 07:00:00	Rush_Ranch-2017-03-05_07-00.flac	200	Non-numeric in C1	val<Agelaius tricolor/Common Song>	---
2017 Rush Ranch	2017-03-05 08:00:00	Rush_Ranch-2017-03-05_08-00.flac	203	Non-numeric in C1	val<Agelaius tricolor/Alternative Song 2>	---
