Site_ID,Site_Name,Pulse Name,Outcome,Calculated_Outcome,Breeding_Type,Hatch_Date,Earliest_Rec,Incubation_Days,Total_Female_Calls,Avg_Female_Calls_Day,Latest_Rec,Nestling_Days,Total_Nestling_Calls,Avg_Nestling_Calls_Day,ARI,Latest_Fledgling_Rec,Fledgling_Days,Total_Fledgling_Calls,Avg_Fledgling_Calls_Day,Fledglings_Present,Substrate,Approx_Size,Comment
2059,2017 Rush Ranch,2017 Rush Ranch p2,Successful,Unknown,Sequential,2017-05-30,2017-05-20,10,162,16.2,2017-06-10,10,179,17.9,1.105,2017-06-23,14,172,12.286,True,"Bulrush, cattails",800,
2059,2017 Rush Ranch,2017 Rush Ranch p3,Successful,Unknown,Sequential,2017-06-28,2017-06-18,10,145,14.5,2017-07-06,7,23,3.286,0.227,2017-07-22,14,7,0.5,True,"Bulrush, cattails",800,
2719,2018 Rush Ranch,2018 Rush Ranch p1,Successful,Unknown,Simple,2018-05-26,2018-05-16,10,52,5.2,2018-06-06,10,32,3.2,0.615,2018-06-20,15,85,5.667,True,"Bulrush, cattails",2000,
5643,2019 Colusa NWR 27-2,2019 Colusa NWR T27.2 p1,Partially Abandoned,Unknown,Simple,2019-05-29,2019-05-21,8,27,3.375,2019-06-09,10,2,0.2,0.059,2019-06-18,10,1,0.1,True,"Bulrush, cattails",60,
4455,2019 Creed Road,2019 Denverton Creek p1,Successful,Unknown,Sequential,2019-05-10,2019-04-30,10,65,6.5,2019-05-21,10,42,4.2,0.646,2019-06-04,15,129,8.6,True,Himalayan blackberry,1000,
4456,2019 Hay Landfill,2019 Hay Landfill p1,Successful,Unknown,Sequential,2019-04-27,2019-04-17,10,125,12.5,2019-05-08,10,70,7.0,0.56,2019-05-22,15,77,5.133,True,"Bulrush, cattails",4000,
4456,2019 Hay Landfill,2019 Hay Landfill p2,Partially Abandoned,Unknown,Sequential,2019-06-09,2019-05-30,10,65,6.5,2019-06-20,10,8,0.8,0.123,2019-07-04,15,123,8.2,True,"Bulrush, cattails",4000,
5637,2019 Markham Ravine,2019 Markham Ravine p1,Partially Abandoned,Unknown,Simple,2019-05-28,2019-05-18,10,264,26.4,2019-06-08,10,69,6.9,0.261,2019-06-22,15,42,2.8,True,"Himalayan blackberry, willow",1500,
5640,2019 Markham Ravine 2,2019 Markham Ravine 2 p1,Partially Abandoned,Unknown,Simple,2019-05-31,2019-05-21,10,172,17.2,2019-06-10,9,35,3.889,0.226,2019-06-25,15,4,0.267,True,"Himalayan blackberry, willow",10000,
57589,2020 Fort Ord,2020 Fort Ord p1,Successful,Unknown,Simple,2020-04-24,2020-04-14,10,20,2.0,2020-05-05,10,79,7.9,3.95,2020-05-19,15,63,4.2,True,NEED,No Colony,
6404,2020 Markham Ravine,2020 Markham Ravine p1,Partially Abandoned,Unknown,Simple,2020-05-19,2020-05-09,10,240,24.0,2020-05-29,9,48,5.333,0.222,2020-06-13,15,17,1.133,True,"Himalayan blackberry, willow",1000,
18572,2020 Ohlone - Santa Lucia Preserve,2020 Santa Lucia Preserve - Ohlone Pond p1,Successful,Unknown,Simple,2020-05-04,2020-04-24,10,59,5.9,2020-05-15,10,84,8.4,1.424,2020-05-29,15,81,5.4,True,NEED,NEED,
21652,2021 Conaway East,2021 Conaway East p1,Successful,Unknown,Simple,2021-06-10,2021-05-31,10,2,0.2,2021-06-21,10,5,0.5,2.5,2021-07-05,15,283,18.867,True,Cattails with bulrush,10000,
24652,2021 Conaway South,2021 Conaway South p1,Successful,Unknown,Simple,2021-06-09,2021-05-30,10,145,14.5,2021-06-20,10,138,13.8,0.952,2021-07-04,15,222,14.8,True,Cattails with bulrush,10000,
