Filename,Site,Date,Recording_ID,Visualizer_URL,Google_Sheets_Link
Rush_Ranch-2017-03-02_12-00.flac,2017 Rush Ranch,2017-03-02 12:00:00,2390468,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2390468,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2390468"", ""Open Visualizer"")"
Rush_Ranch-2017-03-03_15-00.flac,2017 Rush Ranch,2017-03-03 15:00:00,2388523,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388523,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388523"", ""Open Visualizer"")"
Rush_Ranch-2017-03-03_20-00.flac,2017 Rush Ranch,2017-03-03 20:00:00,2388558,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388558,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388558"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_06-00.flac,2017 Rush Ranch,2017-03-04 06:00:00,2388541,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388541,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388541"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_07-00.flac,2017 Rush Ranch,2017-03-04 07:00:00,2388583,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388583,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388583"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_08-00.flac,2017 Rush Ranch,2017-03-04 08:00:00,2388524,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388524,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388524"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_09-00.flac,2017 Rush Ranch,2017-03-04 09:00:00,2388598,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388598,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388598"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_10-00.flac,2017 Rush Ranch,2017-03-04 10:00:00,2388538,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388538,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388538"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_11-00.flac,2017 Rush Ranch,2017-03-04 11:00:00,2388699,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388699,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388699"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_12-00.flac,2017 Rush Ranch,2017-03-04 12:00:00,2388544,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388544,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388544"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_13-00.flac,2017 Rush Ranch,2017-03-04 13:00:00,2388723,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388723,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388723"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_14-00.flac,2017 Rush Ranch,2017-03-04 14:00:00,2388534,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388534,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388534"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_15-00.flac,2017 Rush Ranch,2017-03-04 15:00:00,2388664,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388664,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388664"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_16-00.flac,2017 Rush Ranch,2017-03-04 16:00:00,2388623,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388623,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388623"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_17-00.flac,2017 Rush Ranch,2017-03-04 17:00:00,2388561,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388561,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388561"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_18-00.flac,2017 Rush Ranch,2017-03-04 18:00:00,2388675,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388675,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388675"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_19-00.flac,2017 Rush Ranch,2017-03-04 19:00:00,2388553,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388553,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388553"", ""Open Visualizer"")"
Rush_Ranch-2017-03-04_20-00.flac,2017 Rush Ranch,2017-03-04 20:00:00,2388586,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388586,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388586"", ""Open Visualizer"")"
Rush_Ranch-2017-03-05_06-00.flac,2017 Rush Ranch,2017-03-05 06:00:00,2388741,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388741,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388741"", ""Open Visualizer"")"
Rush_Ranch-2017-03-05_07-00.flac,2017 Rush Ranch,2017-03-05 07:00:00,2388569,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388569,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388569"", ""Open Visualizer"")"
Rush_Ranch-2017-03-05_08-00.flac,2017 Rush Ranch,2017-03-05 08:00:00,2388571,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388571,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388571"", ""Open Visualizer"")"
Rush_Ranch-2017-03-05_09-00.flac,2017 Rush Ranch,2017-03-05 09:00:00,2388656,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388656,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388656"", ""Open Visualizer"")"
Rush_Ranch-2017-03-05_10-00.flac,2017 Rush Ranch,2017-03-05 10:00:00,2389000,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2389000,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2389000"", ""Open Visualizer"")"
Rush_Ranch-2017-03-05_11-00.flac,2017 Rush Ranch,2017-03-05 11:00:00,2388604,https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388604,"=HYPERLINK(""https://arbimon.org/p/tricolored-blackbird-breeding-phenology/visualizer/rec/2388604"", ""Open Visualizer"")"
