pattern_matching_id,recording_id,species_id,songtype_id,x1,x2,y1,y2,score,validated
81941,148152031,48551,4,3.375999928,4.261333466,3281,5719,0.264679223,1
81941,148110664,48551,4,28.79466629,29.68000031,3281,5719,0.201474607,1
81941,148110729,48551,4,45.97866821,46.86399841,3281,5719,0.200422302,1
81941,148111758,48551,4,2.133333445,3.018666744,3281,5719,0.244548097,1
81941,148112201,48551,4,5.007999897,5.893333435,3281,5719,0.295355707,1
81941,148112985,48551,4,43.2266655,44.11199951,3281,5719,0.296560854,1
81941,148113678,48551,4,54.70933151,55.59466553,3281,5719,0.273810416,1
81941,148113707,48551,4,4.906666756,5.791999817,3281,5719,0.25556016,1
81941,148114011,48551,4,7.434666634,8.319999695,3281,5719,0.214506671,1
81941,148114019,48551,4,0.858666658,1.743999958,3281,5719,0.227654904,1
81941,148114078,48551,4,11.76533318,12.65066624,3281,5719,0.244534314,1
81941,148114392,48551,4,57.36000061,58.24533463,3281,5719,0.261117488,1
81941,148114613,48551,4,11.74400043,12.6293335,3281,5719,0.228348166,1
81941,148114691,48551,4,54.6293335,55.51466751,3281,5719,0.239781514,1
81941,148114832,48551,4,14.60266685,15.48799992,3281,5719,0.263709307,1
81941,148115049,48551,4,55.17333221,56.05866623,3281,5719,0.207891122,1
81941,148119062,48551,4,24.9173336,25.80266762,3281,5719,0.201383322,1
81941,148119078,48551,4,37.40800095,38.29333496,3281,5719,0.228584006,1
81941,148119113,48551,4,45.43999863,46.32533264,3281,5719,0.202109575,1
81941,148119145,48551,4,46.0320015,46.9173317,3281,5719,0.205215201,1
81941,148119188,48551,4,41.95733261,42.84266663,3281,5719,0.216140851,1
81941,148119400,48551,4,7.35466671,8.239999771,3281,5719,0.254680902,1
81941,148119402,48551,4,40.01066589,40.89599991,3281,5719,0.311103195,1
81941,148119447,48551,4,35.3706665,36.25600052,3281,5719,0.23162578,1
81941,148119531,48551,4,58.1546669,59.04000092,3281,5719,0.205199093,1
81941,148119550,48551,4,39.99466705,40.88000107,3281,5719,0.311667472,1
81941,148119552,48551,4,37.68000031,38.56533432,3281,5719,0.220302269,1
81941,148119554,48551,4,2.202666759,3.088000059,3281,5719,0.225688472,1
81941,148119641,48551,4,5.962666512,6.84800005,3281,5719,0.227506235,1
81941,148119848,48551,4,50.07466507,50.95999908,3281,5719,0.202951834,1
81941,148120150,48551,4,47.71733475,48.60266495,3281,5719,0.207223758,1
81941,148120214,48551,4,17.42399979,18.3093338,3281,5719,0.216041654,1
81941,148120285,48551,4,56.93333435,57.81866837,3281,5719,0.306470364,1
81941,148120523,48551,4,13.93066692,14.81599998,3281,5719,0.202620894,1
81941,148120557,48551,4,7.423999786,8.309333801,3281,5719,0.231267959,1
