template_id,template_name,recording_id,species_id,scientific_name,songtype_id,songtype,x1,y1,x2,y2,date_created,source_project_name,url
20,Nest-chatter,2392311,9897,Agelaius tricolor,7,Alternative Song 2,15.37220354,826.6346992,16.56427001,12399.52049,04/14/2019 11:57:18,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/20.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=de4a7e553bf993cd3359509f1b0fae46121808f324c08148b295d175582d062a&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D20.png&x-id=GetObject
64,Toad,5319936,16300,Spea hammondii,1,Common Song,12.45269173,718.75,13.73458647,1675,04/17/2019 21:48:08,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/64.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=16babdb9e564147fa6cb20cd36685baceee2d8304f7c7ea3b79e951793bdbfac&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D64.png&x-id=GetObject
3633,MaleSong 01,5458640,9897,Agelaius tricolor,1,Common Song,5.681973601,1284.14303,7.023417621,3825.814725,10/15/2020 20:30:42,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/3633.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=7154e8d696621c36775a111ab85033fcc8b485bf9ee036ba4746b6fc62ee468b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D3633.png&x-id=GetObject
3663,Female Song 01,3549902,9897,Agelaius tricolor,7,Alternative Song 2,2.200953282,1337.5,2.826456605,4550,10/16/2020 19:35:22,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/3663.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=a9b759e0c00cf33e47908cb29020d55eb3235e537c417f2a257302e75208e428&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D3663.png&x-id=GetObject
5907,Male Song AM01,7760504,9897,Agelaius tricolor,1,Common Song,14.57345972,818.1818182,17.06161137,4792.207792,01/19/2021 16:54:24,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/5907.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=ed80399f9f0242b583e23c48170be6b7f3e2aaa6356ef0a2e2b3dd388165efa3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5907.png&x-id=GetObject
5908,Male Song AM02,7760085,9897,Agelaius tricolor,1,Common Song,0.639810427,740.2597403,3.127962085,3116.883117,01/19/2021 17:08:36,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/5908.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=6d31eda5a9c01a3dcec2de57769847537c921e358b136f1db531e9af5d5e363d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5908.png&x-id=GetObject
5909,Male Song AM03,7760504,9897,Agelaius tricolor,1,Common Song,15.16108654,1183.694011,16.60138977,2959.235028,01/19/2021 17:18:36,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/5909.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=24de43e88c2f7d058c0f87be27ea913c524b597c37ec02e5a2be0569df221a8b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5909.png&x-id=GetObject
5910,Male Song AM04,7760504,9897,Agelaius tricolor,1,Common Song,15.00947568,1216.09538,16.63929248,9353.204173,01/19/2021 17:19:25,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/5910.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=95ffde43165a06e037f1324195d65492ede3fcacc5487faed08384d25f2b5c15&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5910.png&x-id=GetObject
5911,Male Song AM05,7759688,9897,Agelaius tricolor,1,Common Song,19.56048645,955.3956835,20.91743119,3637.410072,01/19/2021 17:20:34,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/5911.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=d8c9458f93e3ee608d74f845385667211999f3f9240db54c85e55016166401b2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5911.png&x-id=GetObject
5916,Nest Chatter AM01,7304917,9897,Agelaius tricolor,7,Alternative Song 2,36.35661907,3049.819495,38.34812814,6108.303249,01/20/2021 10:03:52,,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/templates/5916.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170230Z&X-Amz-Expires=604800&X-Amz-Signature=f26417429af30d25e07fa512556f4971d80ec39ce899dbdfaebd40aa6c2b99c3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5916.png&x-id=GetObject
