pattern_matching_id,name,timestamp,playlist_id,playlist_name,template_id,template_name,parameters
25,Nest-chatter,04/14/2019 15:58:48,8643,RR2018,20,Nest-chatter,"{""threshold"": 0.2, ""N"": 1}"
26,Nest-chatter th=.3,04/14/2019 16:00:05,8643,RR2018,20,Nest-chatter,"{""threshold"": 0.3, ""N"": 1}"
206,Toad,04/18/2019 01:49:17,3896,5am-9pm,64,Toad,"{""threshold"": 0.2, ""N"": 1}"
4918,Female Song MR test 1,10/16/2020 00:25:33,10695,2019 MR Female Song=present,20,Nest-chatter,"{""threshold"": 0.3, ""N"": 1, ""persite"": 100}"
4919,Male Song 01,10/16/2020 00:35:25,10695,2019 MR Female Song=present,3633,MaleSong 01,"{""threshold"": 0.3, ""N"": 1}"
4920,Male Song 01 on MS=present,10/16/2020 00:41:27,10696,2019 MR Male Song=present,3633,MaleSong 01,"{""threshold"": 0.25, ""N"": 1}"
4921,Male Song 01 th=0.2,10/16/2020 00:43:15,10696,2019 MR Male Song=present,3633,MaleSong 01,"{""threshold"": 0.2, ""N"": 1}"
4922,2019 partial Iron Point Male Song,10/16/2020 00:49:09,10697,2019 Iron Point - partial,3633,MaleSong 01,"{""threshold"": 0.25, ""N"": 3}"
4954,2019 partial Iron Point Male Song th=.2,10/16/2020 22:55:11,10697,2019 Iron Point - partial,3633,MaleSong 01,"{""threshold"": 0.2, ""N"": 1}"
4955,Female Song 01,10/16/2020 23:36:15,10697,2019 Iron Point - partial,3663,Female Song 01,"{""threshold"": 0.2, ""N"": 1}"
6101,2019 RRam AM template th=0.2,01/19/2021 20:56:39,11413,2019 RR am,5907,Male Song AM01,"{""threshold"": 0.2, ""N"": 1}"
6102,2019 RRam test AM02 th=0.2,01/19/2021 21:09:48,11413,2019 RR am,5908,Male Song AM02,"{""threshold"": 0.2, ""N"": 1}"
6103,2019 RRam test AM03,01/19/2021 21:25:31,11413,2019 RR am,5909,Male Song AM03,"{""threshold"": 0.2, ""N"": 1}"
6104,2019 RRam test AM05,01/19/2021 21:25:58,11413,2019 RR am,5911,Male Song AM05,"{""threshold"": 0.2, ""N"": 1}"
6105,RR2019 test AM03 th=0.25,01/19/2021 21:39:10,11413,2019 RR am,5909,Male Song AM03,"{""threshold"": 0.25, ""N"": 1}"
6106,2019 RRam test AM05 th=0.25,01/19/2021 21:39:49,11413,2019 RR am,5911,Male Song AM05,"{""threshold"": 0.25, ""N"": 1}"
6120,2019 RRam test NC AM01,01/20/2021 14:06:00,11413,2019 RR am,5916,Nest Chatter AM01,"{""threshold"": 0.2, ""N"": 1}"
6121,2019 RRtest NC AM02,01/20/2021 14:06:42,11413,2019 RR am,5917,Nest Chatter AM02,"{""threshold"": 0.2, ""N"": 1}"
6122,2019 RR test NC AM03,01/20/2021 14:07:20,11413,2019 RR am,5918,Nest Chatter AM03,"{""threshold"": 0.2, ""N"": 1}"
6123,2019 RR test NC AM04,01/20/2021 16:30:13,11413,2019 RR am,5919,Nest Chatter AM04,"{""threshold"": 0.2, ""N"": 1}"
6128,2019 HL test MS AM02,01/20/2021 21:31:29,11450,2019 Hay Landfill,5908,Male Song AM02,"{""threshold"": 0.2, ""N"": 1}"
6172,2019 HL test Male Song AM06,01/21/2021 23:00:58,11450,2019 Hay Landfill,5931,Male Song AM06,"{""threshold"": 0.2, ""N"": 1}"
6174,2019 HL test male song th=0.24,01/21/2021 23:53:12,11450,2019 Hay Landfill,5931,Male Song AM06,"{""threshold"": 0.24, ""N"": 1}"
7026,Male Song 3.0  2019 HL th=0.25,04/04/2021 23:57:34,11450,2019 Hay Landfill,6478,Male Song Type 3.0,"{""threshold"": 0.25, ""N"": 1}"
7027,Male Song 2.0 2019 HL th=0.25,04/04/2021 23:58:33,11450,2019 Hay Landfill,6479,Male Song Type 2.0,"{""threshold"": 0.25, ""N"": 1}"
7096,Male Song 1.0 2019 HJ th=0.25,04/15/2021 21:38:51,11450,2019 Hay Landfill,6477,Male Song Type 1.0,"{""threshold"": 0.25, ""N"": 1}"
7097,Male Song 3.0 2019 CR th=0.25,04/15/2021 21:43:03,12239,2019 Creed Road,6478,Male Song Type 3.0,"{""threshold"": 0.25, ""N"": 1}"
7162,Male Song 1.1 2019 CR,04/22/2021 23:24:21,12239,2019 Creed Road,6563,Male Song Type 1.1,"{""threshold"": 0.25, ""N"": 1}"
7204,Male Song 4.0 2019 CR th=0.25,04/28/2021 17:58:46,12239,2019 Creed Road,6609,Male Song 4.0,"{""threshold"": 0.25, ""N"": 1}"
7205,Male Song 2.1 2019 CR th=0.25,04/28/2021 18:10:19,12239,2019 Creed Road,6610,Male Song 2.1,"{""threshold"": 0.25, ""N"": 1}"
7298,Male Song 1.1 FOam 2020,05/12/2021 22:27:52,12390,FOam 2020,6563,Male Song Type 1.1,"{""threshold"": 0.25, ""N"": 1}"
7301,Male Song 3.0 FOam 2020,05/13/2021 11:54:44,12390,FOam 2020,6478,Male Song Type 3.0,"{""threshold"": 0.25, ""N"": 1, ""persite"": None}"
7302,Male Song 4.0 FOam 2020,05/13/2021 11:55:25,12390,FOam 2020,6609,Male Song 4.0,"{""threshold"": 0.25, ""N"": 1}"
7544,Nest Chatter 00 HL test,05/23/2021 21:14:14,11450,2019 Hay Landfill,20,Nest-chatter,"{""threshold"": 0.2, ""N"": 1}"
7545,Nest Chatter FS01 HL test,05/23/2021 21:15:09,11450,2019 Hay Landfill,3663,Female Song 01,"{""threshold"": 0.2, ""N"": 1}"
7546,Nest Chatter HL test AM01,05/23/2021 21:15:45,11450,2019 Hay Landfill,5916,Nest Chatter AM01,"{""threshold"": 0.2, ""N"": 1}"
7547,Nest Chatter AM02 HL test,05/23/2021 21:16:26,11450,2019 Hay Landfill,5917,Nest Chatter AM02,"{""threshold"": 0.2, ""N"": 1}"
7548,Nest Chatter AM03 HL test,05/23/2021 21:17:03,11450,2019 Hay Landfill,5918,Nest Chatter AM03,"{""threshold"": 0.2, ""N"": 1}"
7549,Nest Chatter AM04 HL test,05/23/2021 21:17:32,11450,2019 Hay Landfill,5919,Nest Chatter AM04,"{""threshold"": 0.2, ""N"": 1}"
7550,Nest chatter AM04b HL test,05/23/2021 21:18:15,11450,2019 Hay Landfill,5925,Nest Chatter AM04,"{""threshold"": 0.2, ""N"": 1}"
7551,Nest Chatter AM05 HL test,05/23/2021 21:18:43,11450,2019 Hay Landfill,5926,Nest Chatter AM05,"{""threshold"": 0.2, ""N"": 1}"
7552,nestling squeal,05/23/2021 22:37:05,11450,2019 Hay Landfill,6931,nestling squeal 01,"{""threshold"": 0.2, ""N"": 1}"
7553,nestling squeal 02 HL  test,05/23/2021 22:37:41,11450,2019 Hay Landfill,6932,nestling squeal 02,"{""threshold"": 0.2, ""N"": 1}"
7554,nestling squeal 04 hl test,05/23/2021 22:49:10,11450,2019 Hay Landfill,6934,nestling squeal 04,"{""threshold"": 0.2, ""N"": 1}"
7555,Male Song 4.0 2019 HL,05/23/2021 23:03:31,11450,2019 Hay Landfill,6609,Male Song 4.0,"{""threshold"": 0.2, ""N"": 1}"
7556,Male Song 1.1 2019 HL,05/23/2021 23:04:48,11450,2019 Hay Landfill,6563,Male Song Type 1.1,"{""threshold"": 0.2, ""N"": 1}"
7557,Male Song 2.1 2019 HL,05/23/2021 23:05:32,11450,2019 Hay Landfill,6610,Male Song 2.1,"{""threshold"": 0.2, ""N"": 1}"
7591,Nest Chatter AM03 2019 CR th=0.25,05/24/2021 14:40:24,12239,2019 Creed Road,5918,Nest Chatter AM03,"{""threshold"": 0.25, ""N"": 1}"
7592,Male Song HL 2.1,05/24/2021 16:19:44,11450,2019 Hay Landfill,6948,MS HL 2.1,"{""threshold"": 0.25, ""N"": 1}"
7593,Male Song HL 4.0,05/24/2021 16:20:28,11450,2019 Hay Landfill,6949,MS HL 4.0,"{""threshold"": 0.25, ""N"": 1}"
