classification_result_id,job_id,job_name,model_id,model_name,recording_id,species_id,songtype_id,present
18421681,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384119,9897,7,0
18421682,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384124,9897,7,1
18421683,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384134,9897,7,0
18421684,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384164,9897,7,0
18421685,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384184,9897,7,0
18421686,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384211,9897,7,1
18421687,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384218,9897,7,0
18421688,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384226,9897,7,0
18421689,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384245,9897,7,0
18421690,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384275,9897,7,0
18421691,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384317,9897,7,0
18421692,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384329,9897,7,1
18421693,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384340,9897,7,0
18421694,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384343,9897,7,1
18421695,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384354,9897,7,0
18421696,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384362,9897,7,1
18421697,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384384,9897,7,1
18421698,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384386,9897,7,1
18421699,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384393,9897,7,0
18421700,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384402,9897,7,1
18421701,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384406,9897,7,1
18421702,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384417,9897,7,0
18421703,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384422,9897,7,0
18421704,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384427,9897,7,1
18421705,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384431,9897,7,1
18421706,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384448,9897,7,0
18421707,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384468,9897,7,1
18421708,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384472,9897,7,1
18421709,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384486,9897,7,1
18421710,9882,TRBL next chatter 01,2720,TRBL nest chatter 01 larger,2384496,9897,7,1
