recording_id,site_id,datetime,datetime_utc,sample_rate,duration,samples,file_size,bit_rate,sample_encoding,upload_time,meta,url
215194769,66012,05/28/2024 07:40:00,05/28/2024 14:40:00,48000,60,2880000,0,511078,flac,11/19/2024 01:39:18,"{""comment"":""Recorded at 07:40:00 28/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 32.3C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-28_07-40.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/28/kpigcozwvy5r/51b8bb09-7a43-4b5d-a8c0-d7d7b6d6fa03.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=3caa5395c9798c1f9a195f65a4f44a848bb093009e2eeb8c8fd8544d4eaf6f33&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D51b8bb09-7a43-4b5d-a8c0-d7d7b6d6fa03.flac&x-id=GetObject
215194770,66012,05/28/2024 05:20:00,05/28/2024 12:20:00,48000,60,2880000,0,522459,flac,11/19/2024 01:39:22,"{""comment"":""Recorded at 05:20:00 28/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 16.4C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-28_05-20.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/28/kpigcozwvy5r/abfa0899-d8de-4494-a72a-fb92b0600404.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=3c54e8f5a9618a5d3e6222293af2a5532b11756937d6a1f4d59f0efe6e1e685e&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dabfa0899-d8de-4494-a72a-fb92b0600404.flac&x-id=GetObject
215194771,66012,05/28/2024 17:40:00,05/29/2024 00:40:00,48000,60,2880000,0,504092,flac,11/19/2024 01:39:23,"{""comment"":""Recorded at 17:40:00 28/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 40.6C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-28_17-40.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/29/kpigcozwvy5r/53fec7e2-a1d7-4847-a53e-7227e3693489.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=266f5229140f7cd2b2c5463234d0ffefda1b299771d9a79fbe0b7648d29eef31&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D53fec7e2-a1d7-4847-a53e-7227e3693489.flac&x-id=GetObject
215194772,66012,05/28/2024 21:00:00,05/29/2024 04:00:00,48000,60,2880000,0,518052,flac,11/19/2024 01:39:25,"{""comment"":""Recorded at 21:00:00 28/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was greater than 4.9V and temperature was 26.7C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-28_21-00.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/29/kpigcozwvy5r/0723d18a-b455-4032-8a1d-4a02dfeb9c17.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=77690662fe3e59511df67718ae5c8ca11760700cc187a7681005e91124e470e5&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D0723d18a-b455-4032-8a1d-4a02dfeb9c17.flac&x-id=GetObject
215194773,66012,05/28/2024 11:00:00,05/28/2024 18:00:00,48000,60,2880000,0,490061,flac,11/19/2024 01:39:26,"{""comment"":""Recorded at 11:00:00 28/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 36.0C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-28_11-00.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/28/kpigcozwvy5r/5ef5c463-37ef-4405-ae8f-a2dea03e3855.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=b2b21b5514bd42b93e0bd7ad2d192bc5184816e8aef4aab50617e716521d5620&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D5ef5c463-37ef-4405-ae8f-a2dea03e3855.flac&x-id=GetObject
215194774,66012,05/29/2024 00:20:00,05/29/2024 07:20:00,48000,60,2880000,0,548010,flac,11/19/2024 01:39:27,"{""comment"":""Recorded at 00:20:00 29/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 22.8C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-29_00-20.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/29/kpigcozwvy5r/dd28c75b-3034-4871-81dc-74ce8ab176d4.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=e534b13e461a2dd31126b6074bafbf0e2fdb70d19a808040306141b05c149087&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Ddd28c75b-3034-4871-81dc-74ce8ab176d4.flac&x-id=GetObject
215194776,66012,05/30/2024 03:00:00,05/30/2024 10:00:00,48000,60,2880000,0,435365,flac,11/19/2024 01:39:30,"{""comment"":""Recorded at 03:00:00 30/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 19.3C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-30_03-00.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/30/kpigcozwvy5r/2eb6795d-3627-4527-bb64-2cea98f7bdab.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=67b2a6c177a8edc16ee723a02c6904ca12898cb2d1e9ed53ff7a5ec369d30be8&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D2eb6795d-3627-4527-bb64-2cea98f7bdab.flac&x-id=GetObject
215194777,66012,05/31/2024 02:20:00,05/31/2024 09:20:00,48000,60,2880000,0,441194,flac,11/19/2024 01:39:38,"{""comment"":""Recorded at 02:20:00 31/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 21.8C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-31_02-20.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/31/kpigcozwvy5r/2dc16de8-e563-48fb-a7ba-1b5092e83615.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=5d4ab3b7b4ae307710b9acacf60ace91b188d2d077a18b115e64940075d50e54&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D2dc16de8-e563-48fb-a7ba-1b5092e83615.flac&x-id=GetObject
215194778,66012,05/30/2024 06:20:00,05/30/2024 13:20:00,48000,60,2880000,0,505825,flac,11/19/2024 01:39:39,"{""comment"":""Recorded at 06:20:00 30/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 18.2C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-30_06-20.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/30/kpigcozwvy5r/dbd7575d-5d57-4c72-ba75-005346ead27b.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=a5dd4f9b6a9516a22e23486833f2cb7a609bcedddde8916981abd99bad6777d4&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Ddbd7575d-5d57-4c72-ba75-005346ead27b.flac&x-id=GetObject
215194779,66012,05/28/2024 06:00:00,05/28/2024 13:00:00,48000,60,2880000,0,515906,flac,11/19/2024 01:39:40,"{""comment"":""Recorded at 06:00:00 28/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 15.3C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-28_06-00.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/28/kpigcozwvy5r/40fd7375-a68b-436d-b148-3e882b9f17e5.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=c84ff808daad59697e6ada4e15a576be94d10afa9f237667b51f078fb8ea6163&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D40fd7375-a68b-436d-b148-3e882b9f17e5.flac&x-id=GetObject
215194780,66012,05/29/2024 06:20:00,05/29/2024 13:20:00,48000,60,2880000,0,522078,flac,11/19/2024 01:39:46,"{""comment"":""Recorded at 06:20:00 29/05/2024 (UTC-7) by AudioMoth 242A260463FBCF94 at medium gain while battery was 4.9V and temperature was 19.3C."",""artist"":""AudioMoth 242A260463FBCF94"",""encoder"":""Lavf58.24.101"",""filename"":""NSam-2024-05-29_06-20.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/29/kpigcozwvy5r/136704a4-61cf-4135-855c-375bda6d3a73.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170149Z&X-Amz-Expires=604800&X-Amz-Signature=47f151e80a6c2c36d9cf4277020d3a217be751df940a008035f1615048fddccd&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D136704a4-61cf-4135-855c-375bda6d3a73.flac&x-id=GetObject
