soundscape_id,name,playlist_id,playlist_name,date_created,user_id,aggregation_type,bin_size,frequency,threshold,threshold_type,normalized,min_time_bucket,max_time_bucket,max_frequency,url
1319,4-1 to 4-8,2626,Settling 4-1 to 4-8,06/09/2017 21:40:09,560,time_of_day,86,0,0.02,absolute,1,0,23,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/1319/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=b70f771db15777e44f5dfbcb8ffd2578916d733e8328168514fd49a9561dbcc6&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
1320,4-30 to 5-6,2627,Incubating 1 4-29 to 5-5,06/09/2017 21:51:10,560,time_of_day,86,0,0.02,absolute,1,0,23,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/1320/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=414d3ff9165d0879b207155e4699c2cb4d87bd16443dd192868135652ef81cce&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
1321,5-14 to 5-20,2628,Nestlings,06/09/2017 21:51:34,560,time_of_day,86,0,0.02,absolute,1,0,23,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/1321/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=ce6d70fe2d14f0cf108aab4a72bfdfc88f3fa7b84a00cfd417304ad455964e00&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
1322,TRBL by Days test,2643,week 2,06/10/2017 17:12:01,560,day_of_year,86,0,0,absolute,0,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/1322/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=d4c62f9b234028d1dae4ebfa4d155e5b0e722c2e4afbaacfdad03c9c41f7e01c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
1323,Day only test,2645,day only test,06/10/2017 18:11:46,560,day_of_year,86,0,0.050000001,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/1323/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=d7023e05810b27ec7fec643eef25c2dc2ca590ba3dccde89ed3c6a347af16776&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
1450,Day only 2 1-366,2683,Day only 2,06/15/2017 01:23:13,560,day_of_year,86,0,0.100000001,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/1450/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=0b6dd9a99a9ad254cc9148052afc4efb34a40cc574c5b95737dcb074c3b1577f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
1771,mar2-jul14_day,3119,mar2_through_jul14_day,07/16/2017 03:28:34,560,day_of_year,86,0,0.028999999,absolute,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/1771/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=269d4c37229ef710423d4e978812432452fc43f6cdf2a2b4117d238a0d44e9ce&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
2066,all days 5am-9pm,3896,5am-9pm,10/01/2017 20:00:44,560,day_of_year,21,0,0.100000001,absolute,0,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/2066/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=d52eda562d3fce847f5f0b065ecbdb7d41d733503e612d2941016989bc1efec0&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
2170,Week 1,2642,Week1,10/03/2017 17:29:41,560,time_of_day,21,0,0.032000002,absolute,1,0,23,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/2170/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=a8fe5733f297a0519d8e079e9bc6ddca2199aa7730b6a22b1ce359ad03dec34b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
2255,Mar15-Mar25 hourly analysis of males singing,4161,Mar15-Mar25,10/23/2017 20:35:54,560,time_of_day,21,0,0.287999988,absolute,1,0,23,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/2255/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=ee4e624ffefaa2f0ef121aafd99cdb0cbde2458b093eaa1abf246651e7eaa12b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
3376,IP Apr 2018,5616,IP April,05/01/2018 16:11:54,560,day_of_year,86,0,0,relative-to-peak-maximum,1,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/3376/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=1768aab0f3c3d765910c3a21544f5444a5baebcde35477743e18350e7826c76a&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
3377,RR 2018 thru Apr,5617,RR 2018 thru Apr,05/01/2018 18:02:26,560,day_of_year,21,0,0.029999999,absolute,0,1,366,22050,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/3377/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=ae9567e73cc3b071cb99b70d1d4ef961e9a53fcee986b9e881be855edbbd9f37&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
