recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
FRam-2022-06-02_08-00.WAV,2022 Foley Ranch A,2022,6,2,8,0,Agelaius tricolor,Simple Call 2,59.34933472,59.74399948,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/789c1871-7df5-4abf-a0cc-97e7c2d519ba.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=175d5f76ddf65f8f1757aceeedb1ca16f340c635c19e35bbe057e0dab670e5ad&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D789c1871-7df5-4abf-a0cc-97e7c2d519ba.flac&x-id=GetObject,0.54571408,34118
FRam-2022-06-02_08-40.WAV,2022 Foley Ranch A,2022,6,2,8,40,Agelaius tricolor,Simple Call 2,55.25866699,55.65333176,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/b7bff30f-c2ed-4ffb-8c1b-5ea3196cb13a.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=ec64390a2b68bffbdea102618cc9b3aa2b49f60adcde57043e499850e021ef67&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Db7bff30f-c2ed-4ffb-8c1b-5ea3196cb13a.flac&x-id=GetObject,0.458765805,34118
FRam-2022-06-02_09-00.WAV,2022 Foley Ranch A,2022,6,2,9,0,Agelaius tricolor,Simple Call 2,43.88266754,44.27733231,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/155f472e-92d0-4531-985e-95c430e43a5b.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=8d839592ac5831d5451ffeca1aaa72b10f5749ec4971a422ad297a3093dbaf0f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D155f472e-92d0-4531-985e-95c430e43a5b.flac&x-id=GetObject,0.619349301,34118
FRam-2022-06-02_09-20.WAV,2022 Foley Ranch A,2022,6,2,9,20,Agelaius tricolor,Simple Call 2,48.41600037,48.81066513,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/9e7a9640-cec8-4c9e-b04e-4387668b66d3.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=67b248a461bc7bd90110942a39f83038e65c2ea0536c6d0d7b23633d4c483fa2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D9e7a9640-cec8-4c9e-b04e-4387668b66d3.flac&x-id=GetObject,0.633551359,34118
FRam-2022-06-02_09-40.WAV,2022 Foley Ranch A,2022,6,2,9,40,Agelaius tricolor,Simple Call 2,8.613333702,9.008000374,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/f31de1a0-9b25-4c8e-82ad-05e415e5c7fa.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=b98b80c0a8e55ba73a5417829188e0171816a4d7ae31d2f61fecadb00b626220&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Df31de1a0-9b25-4c8e-82ad-05e415e5c7fa.flac&x-id=GetObject,0.550177991,34118
FRam-2022-06-02_10-00.WAV,2022 Foley Ranch A,2022,6,2,10,0,Agelaius tricolor,Simple Call 2,9.631999969,10.02666664,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/2693346c-6782-4829-9040-993ab4f74e44.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=8a429fd0b04962aee95133c822affca5b24cc6be551f5c56b2a5b132a61853c1&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D2693346c-6782-4829-9040-993ab4f74e44.flac&x-id=GetObject,0.592517197,34118
FRam-2022-06-02_10-20.WAV,2022 Foley Ranch A,2022,6,2,10,20,Agelaius tricolor,Simple Call 2,13.19466686,13.58933353,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/c68026d7-d859-4ba7-a7c1-2843b83756ce.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=d4e239f79919f0ccdc7a3bffec3964aea199969c4927850cffa80e21dca300d3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dc68026d7-d859-4ba7-a7c1-2843b83756ce.flac&x-id=GetObject,0.581503749,34118
FRam-2022-06-02_10-40.WAV,2022 Foley Ranch A,2022,6,2,10,40,Agelaius tricolor,Simple Call 2,0.64533335,1.039999962,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/69c37e25-c65a-4df1-b223-7c4ab3bf9ed0.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=1f0796e211f265d6cadddf1194f99eeecd60ea6a5ba0213c82115d47d4cb74b4&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D69c37e25-c65a-4df1-b223-7c4ab3bf9ed0.flac&x-id=GetObject,0.57610625,34118
FRam-2022-06-02_11-00.WAV,2022 Foley Ranch A,2022,6,2,11,0,Agelaius tricolor,Simple Call 2,36.83200073,37.2266655,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/e04e104b-1346-4903-99a6-25e54ca237b8.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=6ef0fa0af87a4d0b4ed7fffcdab25b9fbd5788c3f17ad237921dc06af487331f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3De04e104b-1346-4903-99a6-25e54ca237b8.flac&x-id=GetObject,0.599094927,34118
FRam-2022-06-02_11-20.WAV,2022 Foley Ranch A,2022,6,2,11,20,Agelaius tricolor,Simple Call 2,39.28533173,39.68000031,375,21656,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/02/9s0rfoqhps98/533f51cc-7d4c-4735-96c8-caad2b402f60.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20260223%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260223T002001Z&X-Amz-Expires=604800&X-Amz-Signature=cde3442541d678da0560b71eeda3a78bf6303c7f988563b91c5083a1c29032f1&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D533f51cc-7d4c-4735-96c8-caad2b402f60.flac&x-id=GetObject,0.59731704,34118
