filename,site,day,month,year,hour,date,val<Agelaius tricolor/Alternative Song 2>,val<Agelaius tricolor/Alternative Song>,val<Agelaius tricolor/Common Song>,val<Agelaius tricolor/Courtship Song>
HLam-2019-04-08_11-01.flac,2019 Hay Landfill AM,08,04,19,11:01:00,2019/04/08,0,0,6,1
HLam-2019-04-08_14-18.flac,2019 Hay Landfill AM,08,04,19,14:18:00,2019/04/08,0,0,3,0
HLam-2019-04-11_08-24.flac,2019 Hay Landfill AM,11,04,19,08:24:00,2019/04/11,0,0,3,1
HLam-2019-04-11_11-21.flac,2019 Hay Landfill AM,11,04,19,11:21:00,2019/04/11,1,0,7,1
HLam-2019-04-11_14-18.flac,2019 Hay Landfill AM,11,04,19,14:18:00,2019/04/11,1,0,11,0
HLam-2019-04-14_08-24.flac,2019 Hay Landfill AM,14,04,19,08:24:00,2019/04/14,0,0,11,1
HLam-2019-04-14_11-21.flac,2019 Hay Landfill AM,14,04,19,11:21:00,2019/04/14,0,0,11,0
HLam-2019-04-14_14-18.flac,2019 Hay Landfill AM,14,04,19,14:18:00,2019/04/14,0,0,6,0
HLam-2019-04-17_08-24.flac,2019 Hay Landfill AM,17,04,19,08:24:00,2019/04/17,7,0,5,0
HLam-2019-04-17_11-21.flac,2019 Hay Landfill AM,17,04,19,11:21:00,2019/04/17,3,0,1,0
HLam-2019-04-17_14-18.flac,2019 Hay Landfill AM,17,04,19,14:18:00,2019/04/17,0,0,1,0
HLam-2019-04-20_08-24.flac,2019 Hay Landfill AM,20,04,19,08:24:00,2019/04/20,4,0,0,0
HLam-2019-04-20_11-21.flac,2019 Hay Landfill AM,20,04,19,11:21:00,2019/04/20,2,0,0,0
HLam-2019-04-20_14-18.flac,2019 Hay Landfill AM,20,04,19,14:18:00,2019/04/20,1,0,0,0
HLam-2019-04-23_08-24.flac,2019 Hay Landfill AM,23,04,19,08:24:00,2019/04/23,1,0,1,0
HLam-2019-04-23_11-21.flac,2019 Hay Landfill AM,23,04,19,11:21:00,2019/04/23,10,0,0,0
HLam-2019-04-23_14-18.flac,2019 Hay Landfill AM,23,04,19,14:18:00,2019/04/23,1,0,1,0
HLam-2019-04-26_08-24.flac,2019 Hay Landfill AM,26,04,19,08:24:00,2019/04/26,1,0,1,0
HLam-2019-04-26_11-21.flac,2019 Hay Landfill AM,26,04,19,11:21:00,2019/04/26,1,0,1,0
HLam-2019-04-29_08-24.flac,2019 Hay Landfill AM,29,04,19,08:24:00,2019/04/29,1,1,1,0
HLam-2019-04-29_11-21.flac,2019 Hay Landfill AM,29,04,19,11:21:00,2019/04/29,0,0,2,0
HLam-2019-04-29_14-18.flac,2019 Hay Landfill AM,29,04,19,14:18:00,2019/04/29,4,1,1,0
HLam-2019-04-26_14-18.flac,2019 Hay Landfill AM,26,04,19,14:18:00,2019/04/26,3,0,13,0
HLam-2019-05-02_08-24.flac,2019 Hay Landfill AM,02,05,19,08:24:00,2019/05/02,0,1,7,0
HLam-2019-05-02_11-21.flac,2019 Hay Landfill AM,02,05,19,11:21:00,2019/05/02,1,5,1,0
