filename,site,day,month,year,hour,date,val<Agelaius tricolor/Courtship Song>
HLam-2019-04-19_19-17.flac,2019 Hay Landfill AM,19,04,19,19:17:00,2019/04/19,0
HLam-2019-04-19_18-18.flac,2019 Hay Landfill AM,19,04,19,18:18:00,2019/04/19,0
HLam-2019-04-19_17-19.flac,2019 Hay Landfill AM,19,04,19,17:19:00,2019/04/19,0
HLam-2019-04-19_16-16.flac,2019 Hay Landfill AM,19,04,19,16:16:00,2019/04/19,0
HLam-2019-04-19_15-17.flac,2019 Hay Landfill AM,19,04,19,15:17:00,2019/04/19,0
HLam-2019-04-19_14-18.flac,2019 Hay Landfill AM,19,04,19,14:18:00,2019/04/19,0
HLam-2019-04-19_12-20.flac,2019 Hay Landfill AM,19,04,19,12:20:00,2019/04/19,0
HLam-2019-04-19_11-21.flac,2019 Hay Landfill AM,19,04,19,11:21:00,2019/04/19,0
HLam-2019-04-19_10-22.flac,2019 Hay Landfill AM,19,04,19,10:22:00,2019/04/19,0
HLam-2019-04-19_13-19.flac,2019 Hay Landfill AM,19,04,19,13:19:00,2019/04/19,0
HLam-2019-04-19_09-23.flac,2019 Hay Landfill AM,19,04,19,09:23:00,2019/04/19,0
HLam-2019-04-19_08-24.flac,2019 Hay Landfill AM,19,04,19,08:24:00,2019/04/19,0
HLam-2019-04-19_07-25.flac,2019 Hay Landfill AM,19,04,19,07:25:00,2019/04/19,0
HLam-2019-04-18_19-17.flac,2019 Hay Landfill AM,18,04,19,19:17:00,2019/04/18,0
HLam-2019-04-18_18-18.flac,2019 Hay Landfill AM,18,04,19,18:18:00,2019/04/18,0
HLam-2019-04-18_17-19.flac,2019 Hay Landfill AM,18,04,19,17:19:00,2019/04/18,0
HLam-2019-04-18_16-16.flac,2019 Hay Landfill AM,18,04,19,16:16:00,2019/04/18,0
HLam-2019-04-18_15-17.flac,2019 Hay Landfill AM,18,04,19,15:17:00,2019/04/18,0
HLam-2019-04-18_14-18.flac,2019 Hay Landfill AM,18,04,19,14:18:00,2019/04/18,0
HLam-2019-04-18_13-19.flac,2019 Hay Landfill AM,18,04,19,13:19:00,2019/04/18,0
HLam-2019-04-18_12-20.flac,2019 Hay Landfill AM,18,04,19,12:20:00,2019/04/18,0
HLam-2019-04-18_11-21.flac,2019 Hay Landfill AM,18,04,19,11:21:00,2019/04/18,0
HLam-2019-04-18_10-22.flac,2019 Hay Landfill AM,18,04,19,10:22:00,2019/04/18,0
HLam-2019-04-18_09-23.flac,2019 Hay Landfill AM,18,04,19,09:23:00,2019/04/18,0
HLam-2019-04-18_08-24.flac,2019 Hay Landfill AM,18,04,19,08:24:00,2019/04/18,0
HLam-2019-04-18_07-25.flac,2019 Hay Landfill AM,18,04,19,07:25:00,2019/04/18,0
HLam-2019-04-17_19-17.flac,2019 Hay Landfill AM,17,04,19,19:17:00,2019/04/17,0
HLam-2019-04-17_17-19.flac,2019 Hay Landfill AM,17,04,19,17:19:00,2019/04/17,0
HLam-2019-04-17_16-16.flac,2019 Hay Landfill AM,17,04,19,16:16:00,2019/04/17,0
HLam-2019-04-17_18-18.flac,2019 Hay Landfill AM,17,04,19,18:18:00,2019/04/17,0
HLam-2019-04-17_15-17.flac,2019 Hay Landfill AM,17,04,19,15:17:00,2019/04/17,0
HLam-2019-04-17_14-18.flac,2019 Hay Landfill AM,17,04,19,14:18:00,2019/04/17,0
HLam-2019-04-17_13-19.flac,2019 Hay Landfill AM,17,04,19,13:19:00,2019/04/17,0
HLam-2019-04-17_12-20.flac,2019 Hay Landfill AM,17,04,19,12:20:00,2019/04/17,0
HLam-2019-04-17_11-21.flac,2019 Hay Landfill AM,17,04,19,11:21:00,2019/04/17,0
HLam-2019-04-17_10-22.flac,2019 Hay Landfill AM,17,04,19,10:22:00,2019/04/17,0
HLam-2019-04-17_09-23.flac,2019 Hay Landfill AM,17,04,19,09:23:00,2019/04/17,0
HLam-2019-04-17_08-24.flac,2019 Hay Landfill AM,17,04,19,08:24:00,2019/04/17,0
HLam-2019-04-17_07-25.flac,2019 Hay Landfill AM,17,04,19,07:25:00,2019/04/17,0
HLam-2019-04-16_19-17.flac,2019 Hay Landfill AM,16,04,19,19:17:00,2019/04/16,1
HLam-2019-04-16_18-18.flac,2019 Hay Landfill AM,16,04,19,18:18:00,2019/04/16,0
HLam-2019-04-16_17-19.flac,2019 Hay Landfill AM,16,04,19,17:19:00,2019/04/16,0
HLam-2019-04-16_16-16.flac,2019 Hay Landfill AM,16,04,19,16:16:00,2019/04/16,0
HLam-2019-04-16_15-17.flac,2019 Hay Landfill AM,16,04,19,15:17:00,2019/04/16,0
HLam-2019-04-16_14-18.flac,2019 Hay Landfill AM,16,04,19,14:18:00,2019/04/16,0
HLam-2019-04-16_13-19.flac,2019 Hay Landfill AM,16,04,19,13:19:00,2019/04/16,0
HLam-2019-04-16_11-21.flac,2019 Hay Landfill AM,16,04,19,11:21:00,2019/04/16,0
HLam-2019-04-16_12-20.flac,2019 Hay Landfill AM,16,04,19,12:20:00,2019/04/16,0
HLam-2019-04-16_10-22.flac,2019 Hay Landfill AM,16,04,19,10:22:00,2019/04/16,0
HLam-2019-04-16_09-23.flac,2019 Hay Landfill AM,16,04,19,09:23:00,2019/04/16,0
HLam-2019-04-16_08-24.flac,2019 Hay Landfill AM,16,04,19,08:24:00,2019/04/16,0
HLam-2019-04-16_07-25.flac,2019 Hay Landfill AM,16,04,19,07:25:00,2019/04/16,1
HLam-2019-04-15_19-17.flac,2019 Hay Landfill AM,15,04,19,19:17:00,2019/04/15,1
HLam-2019-04-15_18-18.flac,2019 Hay Landfill AM,15,04,19,18:18:00,2019/04/15,1
HLam-2019-04-15_17-19.flac,2019 Hay Landfill AM,15,04,19,17:19:00,2019/04/15,0
HLam-2019-04-15_16-16.flac,2019 Hay Landfill AM,15,04,19,16:16:00,2019/04/15,1
